
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=256
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GCN model...
Using standard DGL GCN model
Model parameters: 229,232 total, 229,232 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 256, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 3.9565 | Train Accuracy 0.5126 | Val Accuracy 0.5003 | Test Accuracy 0.5047 | Best val. Accuracy 0.5003 | Best test Accuracy 0.5047
Epoch 0001/1000| Loss 10.5220 | Train Accuracy 0.4319 | Val Accuracy 0.4211 | Test Accuracy 0.4439 | Best val. Accuracy 0.5003 | Best test Accuracy 0.5047
Epoch 0002/1000| Loss 16.9575 | Train Accuracy 0.5417 | Val Accuracy 0.5351 | Test Accuracy 0.5237 | Best val. Accuracy 0.5351 | Best test Accuracy 0.5237
Epoch 0003/1000| Loss 68.0604 | Train Accuracy 0.4114 | Val Accuracy 0.3942 | Test Accuracy 0.4299 | Best val. Accuracy 0.5351 | Best test Accuracy 0.5237
Epoch 0004/1000| Loss 11.9748 | Train Accuracy 0.3923 | Val Accuracy 0.3763 | Test Accuracy 0.4161 | Best val. Accuracy 0.5351 | Best test Accuracy 0.5237
Epoch 0005/1000| Loss 6.9329 | Train Accuracy 0.5289 | Val Accuracy 0.4982 | Test Accuracy 0.5042 | Best val. Accuracy 0.5351 | Best test Accuracy 0.5237
Epoch 0006/1000| Loss 9.1529 | Train Accuracy 0.5938 | Val Accuracy 0.5573 | Test Accuracy 0.5401 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0007/1000| Loss 5.3560 | Train Accuracy 0.4819 | Val Accuracy 0.4398 | Test Accuracy 0.4613 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0008/1000| Loss 3.4854 | Train Accuracy 0.4485 | Val Accuracy 0.4115 | Test Accuracy 0.4374 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0009/1000| Loss 3.0307 | Train Accuracy 0.4415 | Val Accuracy 0.4089 | Test Accuracy 0.4370 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0010/1000| Loss 2.3018 | Train Accuracy 0.4710 | Val Accuracy 0.4457 | Test Accuracy 0.4656 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0011/1000| Loss 1.9288 | Train Accuracy 0.5157 | Val Accuracy 0.4910 | Test Accuracy 0.4911 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0012/1000| Loss 1.5411 | Train Accuracy 0.5379 | Val Accuracy 0.5124 | Test Accuracy 0.4978 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0013/1000| Loss 1.0438 | Train Accuracy 0.5423 | Val Accuracy 0.5181 | Test Accuracy 0.4929 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0014/1000| Loss 1.1084 | Train Accuracy 0.5491 | Val Accuracy 0.5351 | Test Accuracy 0.5071 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0015/1000| Loss 1.2810 | Train Accuracy 0.5563 | Val Accuracy 0.5522 | Test Accuracy 0.5223 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0016/1000| Loss 0.9045 | Train Accuracy 0.5473 | Val Accuracy 0.5466 | Test Accuracy 0.5247 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0017/1000| Loss 0.6970 | Train Accuracy 0.4733 | Val Accuracy 0.4569 | Test Accuracy 0.4635 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0018/1000| Loss 0.6287 | Train Accuracy 0.4253 | Val Accuracy 0.4015 | Test Accuracy 0.4235 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0019/1000| Loss 0.6480 | Train Accuracy 0.4145 | Val Accuracy 0.3879 | Test Accuracy 0.4126 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0020: Avg Forward 48.615ms, Avg Backward 32.451ms, Total per epoch 81.066ms
Epoch 0020/1000| Loss 0.6933 | Train Accuracy 0.4170 | Val Accuracy 0.3851 | Test Accuracy 0.4104 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0021/1000| Loss 0.6837 | Train Accuracy 0.4269 | Val Accuracy 0.3918 | Test Accuracy 0.4172 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0022/1000| Loss 0.6514 | Train Accuracy 0.4356 | Val Accuracy 0.3972 | Test Accuracy 0.4228 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0023/1000| Loss 0.6081 | Train Accuracy 0.4427 | Val Accuracy 0.4026 | Test Accuracy 0.4284 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0024/1000| Loss 0.5459 | Train Accuracy 0.4433 | Val Accuracy 0.4058 | Test Accuracy 0.4314 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0025/1000| Loss 0.4827 | Train Accuracy 0.4406 | Val Accuracy 0.4083 | Test Accuracy 0.4289 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0026/1000| Loss 0.4583 | Train Accuracy 0.4407 | Val Accuracy 0.4082 | Test Accuracy 0.4250 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0027/1000| Loss 0.4714 | Train Accuracy 0.4597 | Val Accuracy 0.4173 | Test Accuracy 0.4311 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0028/1000| Loss 0.4754 | Train Accuracy 0.4833 | Val Accuracy 0.4295 | Test Accuracy 0.4386 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0029/1000| Loss 0.4695 | Train Accuracy 0.4955 | Val Accuracy 0.4337 | Test Accuracy 0.4409 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0030/1000| Loss 0.4579 | Train Accuracy 0.4963 | Val Accuracy 0.4288 | Test Accuracy 0.4357 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0031/1000| Loss 0.4412 | Train Accuracy 0.4907 | Val Accuracy 0.4211 | Test Accuracy 0.4285 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0032/1000| Loss 0.4274 | Train Accuracy 0.4837 | Val Accuracy 0.4133 | Test Accuracy 0.4212 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0033/1000| Loss 0.4182 | Train Accuracy 0.4776 | Val Accuracy 0.4076 | Test Accuracy 0.4175 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0034/1000| Loss 0.4138 | Train Accuracy 0.4725 | Val Accuracy 0.4035 | Test Accuracy 0.4153 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0035/1000| Loss 0.4105 | Train Accuracy 0.4685 | Val Accuracy 0.4001 | Test Accuracy 0.4130 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0036/1000| Loss 0.4045 | Train Accuracy 0.4670 | Val Accuracy 0.3996 | Test Accuracy 0.4112 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0037/1000| Loss 0.3996 | Train Accuracy 0.4611 | Val Accuracy 0.3973 | Test Accuracy 0.4087 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0038/1000| Loss 0.3967 | Train Accuracy 0.4587 | Val Accuracy 0.3954 | Test Accuracy 0.4065 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0039/1000| Loss 0.3953 | Train Accuracy 0.4717 | Val Accuracy 0.3974 | Test Accuracy 0.4070 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0040: Avg Forward 48.765ms, Avg Backward 32.471ms, Total per epoch 81.235ms
Epoch 0040/1000| Loss 0.3944 | Train Accuracy 0.4639 | Val Accuracy 0.3937 | Test Accuracy 0.4026 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0041/1000| Loss 0.3925 | Train Accuracy 0.4714 | Val Accuracy 0.3945 | Test Accuracy 0.4021 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0042/1000| Loss 0.3891 | Train Accuracy 0.4786 | Val Accuracy 0.3956 | Test Accuracy 0.4008 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0043/1000| Loss 0.3874 | Train Accuracy 0.4720 | Val Accuracy 0.3908 | Test Accuracy 0.3954 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0044/1000| Loss 0.3834 | Train Accuracy 0.4749 | Val Accuracy 0.3902 | Test Accuracy 0.3930 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0045/1000| Loss 0.3810 | Train Accuracy 0.4832 | Val Accuracy 0.3920 | Test Accuracy 0.3925 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0046/1000| Loss 0.3793 | Train Accuracy 0.4759 | Val Accuracy 0.3912 | Test Accuracy 0.3893 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0047/1000| Loss 0.3805 | Train Accuracy 0.5014 | Val Accuracy 0.4009 | Test Accuracy 0.3959 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0048/1000| Loss 0.3855 | Train Accuracy 0.5089 | Val Accuracy 0.4116 | Test Accuracy 0.3995 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0049/1000| Loss 0.3772 | Train Accuracy 0.5173 | Val Accuracy 0.4288 | Test Accuracy 0.4074 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0050/1000| Loss 0.3758 | Train Accuracy 0.5236 | Val Accuracy 0.4425 | Test Accuracy 0.4135 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0051/1000| Loss 0.3801 | Train Accuracy 0.5286 | Val Accuracy 0.4372 | Test Accuracy 0.4096 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0052/1000| Loss 0.3730 | Train Accuracy 0.5242 | Val Accuracy 0.4269 | Test Accuracy 0.4030 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0053/1000| Loss 0.3739 | Train Accuracy 0.5153 | Val Accuracy 0.4127 | Test Accuracy 0.3974 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0054/1000| Loss 0.3755 | Train Accuracy 0.5230 | Val Accuracy 0.4236 | Test Accuracy 0.3999 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
Epoch 0055/1000| Loss 0.3703 | Train Accuracy 0.5301 | Val Accuracy 0.4377 | Test Accuracy 0.4055 | Best val. Accuracy 0.5573 | Best test Accuracy 0.5401
