
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 431,919 total, 431,919 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 7.9564 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0001/1000| Loss 11.4199 | Train Accuracy 0.2084 | Val Accuracy 0.1981 | Test Accuracy 0.1615 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0002/1000| Loss 4.3364 | Train Accuracy 0.2995 | Val Accuracy 0.2990 | Test Accuracy 0.2470 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0003/1000| Loss 3.9327 | Train Accuracy 0.3064 | Val Accuracy 0.3048 | Test Accuracy 0.2598 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0004/1000| Loss 4.4275 | Train Accuracy 0.1083 | Val Accuracy 0.1067 | Test Accuracy 0.0933 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0005/1000| Loss 5.1950 | Train Accuracy 0.0750 | Val Accuracy 0.0721 | Test Accuracy 0.0613 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0006/1000| Loss 4.8402 | Train Accuracy 0.1596 | Val Accuracy 0.1549 | Test Accuracy 0.1224 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0007/1000| Loss 4.0647 | Train Accuracy 0.3016 | Val Accuracy 0.2967 | Test Accuracy 0.2478 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0008/1000| Loss 3.3384 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2693 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0009/1000| Loss 3.8515 | Train Accuracy 0.2980 | Val Accuracy 0.2864 | Test Accuracy 0.2332 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0010/1000| Loss 3.5157 | Train Accuracy 0.2996 | Val Accuracy 0.2938 | Test Accuracy 0.2308 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
