
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=128
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 524,039 total, 524,039 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 128, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 14.4477 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0001/1000| Loss 281.6963 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0002/1000| Loss 164.0710 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0003/1000| Loss 206.5829 | Train Accuracy 0.0391 | Val Accuracy 0.0385 | Test Accuracy 0.0393 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 112.7543 | Train Accuracy 0.0968 | Val Accuracy 0.0952 | Test Accuracy 0.0924 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 939.5648 | Train Accuracy 0.2582 | Val Accuracy 0.2579 | Test Accuracy 0.2548 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 103.1963 | Train Accuracy 0.0968 | Val Accuracy 0.0952 | Test Accuracy 0.0924 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0007/1000| Loss 609.6595 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0008/1000| Loss 308.3977 | Train Accuracy 0.0392 | Val Accuracy 0.0386 | Test Accuracy 0.0396 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0009/1000| Loss 192.7638 | Train Accuracy 0.1011 | Val Accuracy 0.0991 | Test Accuracy 0.0957 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0010/1000| Loss 273.5969 | Train Accuracy 0.1211 | Val Accuracy 0.1198 | Test Accuracy 0.1134 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0011/1000| Loss 148.4938 | Train Accuracy 0.0712 | Val Accuracy 0.0719 | Test Accuracy 0.0741 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0012/1000| Loss 265.9076 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0013/1000| Loss 302.5382 | Train Accuracy 0.4215 | Val Accuracy 0.4237 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0014/1000| Loss 187.4228 | Train Accuracy 0.4197 | Val Accuracy 0.4215 | Test Accuracy 0.4217 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0015/1000| Loss 110.6207 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0016/1000| Loss 370.5457 | Train Accuracy 0.4215 | Val Accuracy 0.4236 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0017/1000| Loss 158.4949 | Train Accuracy 0.3950 | Val Accuracy 0.3955 | Test Accuracy 0.3966 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0018/1000| Loss 204.2227 | Train Accuracy 0.0728 | Val Accuracy 0.0723 | Test Accuracy 0.0738 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0019/1000| Loss 138.2720 | Train Accuracy 0.1156 | Val Accuracy 0.1200 | Test Accuracy 0.1146 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0020: Avg Forward 9.529ms, Avg Backward 3.863ms, Total per epoch 13.392ms
Epoch 0020/1000| Loss 128.3535 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0021/1000| Loss 138.6599 | Train Accuracy 0.4215 | Val Accuracy 0.4237 | Test Accuracy 0.4233 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0022/1000| Loss 77.2133 | Train Accuracy 0.4215 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0023/1000| Loss 60.5220 | Train Accuracy 0.0970 | Val Accuracy 0.0957 | Test Accuracy 0.0926 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0024/1000| Loss 101.0860 | Train Accuracy 0.1373 | Val Accuracy 0.1360 | Test Accuracy 0.1402 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0025/1000| Loss 61.4244 | Train Accuracy 0.4215 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0026/1000| Loss 58.8430 | Train Accuracy 0.4215 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0027/1000| Loss 59.6203 | Train Accuracy 0.4171 | Val Accuracy 0.4199 | Test Accuracy 0.4198 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0028/1000| Loss 51.0033 | Train Accuracy 0.1074 | Val Accuracy 0.1116 | Test Accuracy 0.1077 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0029/1000| Loss 45.1166 | Train Accuracy 0.0963 | Val Accuracy 0.0996 | Test Accuracy 0.0973 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0030/1000| Loss 37.1435 | Train Accuracy 0.0938 | Val Accuracy 0.0960 | Test Accuracy 0.0942 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0031/1000| Loss 27.0874 | Train Accuracy 0.3069 | Val Accuracy 0.3067 | Test Accuracy 0.3076 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0032/1000| Loss 23.1192 | Train Accuracy 0.2091 | Val Accuracy 0.2113 | Test Accuracy 0.2135 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0033/1000| Loss 24.3180 | Train Accuracy 0.1961 | Val Accuracy 0.1949 | Test Accuracy 0.1963 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0034/1000| Loss 21.5393 | Train Accuracy 0.2414 | Val Accuracy 0.2422 | Test Accuracy 0.2368 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0035/1000| Loss 21.8911 | Train Accuracy 0.1834 | Val Accuracy 0.1817 | Test Accuracy 0.1789 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0036/1000| Loss 19.8439 | Train Accuracy 0.1586 | Val Accuracy 0.1594 | Test Accuracy 0.1638 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0037/1000| Loss 20.9821 | Train Accuracy 0.2213 | Val Accuracy 0.2207 | Test Accuracy 0.2261 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
