
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 327,434 total, 327,434 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 25281.1094 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0001/1000| Loss 236992.9062 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0002/1000| Loss 172533.4062 | Train Accuracy 0.0968 | Val Accuracy 0.0952 | Test Accuracy 0.0924 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0003/1000| Loss 20693.1055 | Train Accuracy 0.0710 | Val Accuracy 0.0722 | Test Accuracy 0.0738 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 6304.1885 | Train Accuracy 0.2584 | Val Accuracy 0.2580 | Test Accuracy 0.2546 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 2958.2209 | Train Accuracy 0.0855 | Val Accuracy 0.0865 | Test Accuracy 0.0869 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 1508.3219 | Train Accuracy 0.3413 | Val Accuracy 0.3473 | Test Accuracy 0.3474 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0007/1000| Loss 890.3171 | Train Accuracy 0.2482 | Val Accuracy 0.2478 | Test Accuracy 0.2454 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0008/1000| Loss 3165.1675 | Train Accuracy 0.1014 | Val Accuracy 0.1042 | Test Accuracy 0.1037 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0009/1000| Loss 1154.0708 | Train Accuracy 0.4138 | Val Accuracy 0.4179 | Test Accuracy 0.4167 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0010/1000| Loss 761.3173 | Train Accuracy 0.3311 | Val Accuracy 0.3373 | Test Accuracy 0.3321 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0011/1000| Loss 588.5400 | Train Accuracy 0.3769 | Val Accuracy 0.3799 | Test Accuracy 0.3767 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0012/1000| Loss 259.7824 | Train Accuracy 0.4124 | Val Accuracy 0.4149 | Test Accuracy 0.4131 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0013/1000| Loss 162.5713 | Train Accuracy 0.2850 | Val Accuracy 0.2840 | Test Accuracy 0.2830 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0014/1000| Loss 107.2198 | Train Accuracy 0.2078 | Val Accuracy 0.2025 | Test Accuracy 0.2053 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0015/1000| Loss 106.7866 | Train Accuracy 0.3227 | Val Accuracy 0.3181 | Test Accuracy 0.3242 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0016/1000| Loss 97.9669 | Train Accuracy 0.3717 | Val Accuracy 0.3724 | Test Accuracy 0.3717 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0017/1000| Loss 93.6235 | Train Accuracy 0.3895 | Val Accuracy 0.3919 | Test Accuracy 0.3914 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0018/1000| Loss 98.6539 | Train Accuracy 0.3480 | Val Accuracy 0.3440 | Test Accuracy 0.3463 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0019/1000| Loss 92.8111 | Train Accuracy 0.3760 | Val Accuracy 0.3804 | Test Accuracy 0.3787 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0020: Avg Forward 9.263ms, Avg Backward 3.701ms, Total per epoch 12.963ms
Epoch 0020/1000| Loss 67.0115 | Train Accuracy 0.2504 | Val Accuracy 0.2498 | Test Accuracy 0.2478 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0021/1000| Loss 113.4024 | Train Accuracy 0.0604 | Val Accuracy 0.0593 | Test Accuracy 0.0622 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0022/1000| Loss 126.4670 | Train Accuracy 0.2726 | Val Accuracy 0.2718 | Test Accuracy 0.2758 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0023/1000| Loss 68.5684 | Train Accuracy 0.2024 | Val Accuracy 0.2027 | Test Accuracy 0.2007 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0024/1000| Loss 157.3448 | Train Accuracy 0.2844 | Val Accuracy 0.2811 | Test Accuracy 0.2827 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0025/1000| Loss 132.7636 | Train Accuracy 0.3831 | Val Accuracy 0.3841 | Test Accuracy 0.3850 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0026/1000| Loss 146.2438 | Train Accuracy 0.0668 | Val Accuracy 0.0652 | Test Accuracy 0.0657 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0027/1000| Loss 89.1189 | Train Accuracy 0.1507 | Val Accuracy 0.1475 | Test Accuracy 0.1471 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0028/1000| Loss 78.2062 | Train Accuracy 0.3898 | Val Accuracy 0.3916 | Test Accuracy 0.3901 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0029/1000| Loss 79.9155 | Train Accuracy 0.3212 | Val Accuracy 0.3196 | Test Accuracy 0.3190 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0030/1000| Loss 106.2427 | Train Accuracy 0.4164 | Val Accuracy 0.4192 | Test Accuracy 0.4190 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0031/1000| Loss 52.3125 | Train Accuracy 0.2883 | Val Accuracy 0.2869 | Test Accuracy 0.2910 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0032/1000| Loss 68.9254 | Train Accuracy 0.0816 | Val Accuracy 0.0783 | Test Accuracy 0.0812 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0033/1000| Loss 73.8249 | Train Accuracy 0.3908 | Val Accuracy 0.3894 | Test Accuracy 0.3904 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0034/1000| Loss 71.4652 | Train Accuracy 0.4204 | Val Accuracy 0.4236 | Test Accuracy 0.4227 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0035/1000| Loss 126.4537 | Train Accuracy 0.2703 | Val Accuracy 0.2673 | Test Accuracy 0.2659 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0036/1000| Loss 105.0247 | Train Accuracy 0.2584 | Val Accuracy 0.2581 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0037/1000| Loss 184.2477 | Train Accuracy 0.2590 | Val Accuracy 0.2587 | Test Accuracy 0.2556 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0038/1000| Loss 130.6458 | Train Accuracy 0.2514 | Val Accuracy 0.2474 | Test Accuracy 0.2471 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0039/1000| Loss 53.6264 | Train Accuracy 0.4211 | Val Accuracy 0.4237 | Test Accuracy 0.4231 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
