
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 235,314 total, 235,314 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 4.9993 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2693 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0001/1000| Loss 4.0561 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0002/1000| Loss 4.6557 | Train Accuracy 0.1374 | Val Accuracy 0.1365 | Test Accuracy 0.1256 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0003/1000| Loss 3.6137 | Train Accuracy 0.3020 | Val Accuracy 0.3018 | Test Accuracy 0.2607 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0004/1000| Loss 3.8248 | Train Accuracy 0.0690 | Val Accuracy 0.0656 | Test Accuracy 0.0511 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0005/1000| Loss 3.9337 | Train Accuracy 0.0922 | Val Accuracy 0.0900 | Test Accuracy 0.0798 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0006/1000| Loss 3.9359 | Train Accuracy 0.3066 | Val Accuracy 0.3057 | Test Accuracy 0.2650 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0007/1000| Loss 3.7478 | Train Accuracy 0.3051 | Val Accuracy 0.3021 | Test Accuracy 0.2543 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0008/1000| Loss 3.6093 | Train Accuracy 0.2295 | Val Accuracy 0.2203 | Test Accuracy 0.1598 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0009/1000| Loss 3.3382 | Train Accuracy 0.1401 | Val Accuracy 0.1293 | Test Accuracy 0.1139 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0010/1000| Loss 3.4140 | Train Accuracy 0.3103 | Val Accuracy 0.3083 | Test Accuracy 0.2624 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0011/1000| Loss 3.6940 | Train Accuracy 0.0936 | Val Accuracy 0.0937 | Test Accuracy 0.0838 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0012/1000| Loss 3.5474 | Train Accuracy 0.0783 | Val Accuracy 0.0747 | Test Accuracy 0.0620 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0013/1000| Loss 3.7561 | Train Accuracy 0.2111 | Val Accuracy 0.2047 | Test Accuracy 0.1683 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0014/1000| Loss 3.6638 | Train Accuracy 0.1405 | Val Accuracy 0.1394 | Test Accuracy 0.1260 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0015/1000| Loss 3.6466 | Train Accuracy 0.2443 | Val Accuracy 0.2407 | Test Accuracy 0.2038 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0016/1000| Loss 3.6070 | Train Accuracy 0.1360 | Val Accuracy 0.1343 | Test Accuracy 0.1142 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0017/1000| Loss 3.3564 | Train Accuracy 0.1645 | Val Accuracy 0.1556 | Test Accuracy 0.1286 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0018/1000| Loss 3.1563 | Train Accuracy 0.1033 | Val Accuracy 0.1028 | Test Accuracy 0.0949 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0019/1000| Loss 3.1819 | Train Accuracy 0.1076 | Val Accuracy 0.1054 | Test Accuracy 0.0962 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2693
Epoch 0020: Avg Forward 236.537ms, Avg Backward 97.213ms, Total per epoch 333.749ms
