
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating GCN model...
Using MaxK-accelerated GCN model
Model parameters: 327,431 total, 327,431 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 7.3048 | Train Accuracy 0.0716 | Val Accuracy 0.0721 | Test Accuracy 0.0750 | Best val. Accuracy 0.0721 | Best test Accuracy 0.0750
Epoch 0001/1000| Loss 5.6421 | Train Accuracy 0.0843 | Val Accuracy 0.0846 | Test Accuracy 0.0863 | Best val. Accuracy 0.0846 | Best test Accuracy 0.0863
Epoch 0002/1000| Loss 4.1391 | Train Accuracy 0.2119 | Val Accuracy 0.2209 | Test Accuracy 0.2160 | Best val. Accuracy 0.2209 | Best test Accuracy 0.2160
Epoch 0003/1000| Loss 3.0761 | Train Accuracy 0.3697 | Val Accuracy 0.3703 | Test Accuracy 0.3712 | Best val. Accuracy 0.3703 | Best test Accuracy 0.3712
Epoch 0004/1000| Loss 2.6951 | Train Accuracy 0.4128 | Val Accuracy 0.4140 | Test Accuracy 0.4133 | Best val. Accuracy 0.4140 | Best test Accuracy 0.4133
Epoch 0005/1000| Loss 2.6014 | Train Accuracy 0.4177 | Val Accuracy 0.4194 | Test Accuracy 0.4190 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0006/1000| Loss 2.4756 | Train Accuracy 0.4060 | Val Accuracy 0.4110 | Test Accuracy 0.4053 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0007/1000| Loss 2.3367 | Train Accuracy 0.3796 | Val Accuracy 0.3842 | Test Accuracy 0.3790 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0008/1000| Loss 2.3189 | Train Accuracy 0.3492 | Val Accuracy 0.3518 | Test Accuracy 0.3467 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0009/1000| Loss 2.4026 | Train Accuracy 0.3318 | Val Accuracy 0.3322 | Test Accuracy 0.3273 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0010/1000| Loss 2.4553 | Train Accuracy 0.3260 | Val Accuracy 0.3284 | Test Accuracy 0.3242 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0011/1000| Loss 2.4325 | Train Accuracy 0.3233 | Val Accuracy 0.3260 | Test Accuracy 0.3193 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0012/1000| Loss 2.3681 | Train Accuracy 0.3207 | Val Accuracy 0.3231 | Test Accuracy 0.3181 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0013/1000| Loss 2.3114 | Train Accuracy 0.3270 | Val Accuracy 0.3338 | Test Accuracy 0.3308 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0014/1000| Loss 2.2688 | Train Accuracy 0.3512 | Val Accuracy 0.3578 | Test Accuracy 0.3501 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0015/1000| Loss 2.2288 | Train Accuracy 0.3869 | Val Accuracy 0.3891 | Test Accuracy 0.3848 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0016/1000| Loss 2.1967 | Train Accuracy 0.4158 | Val Accuracy 0.4147 | Test Accuracy 0.4140 | Best val. Accuracy 0.4194 | Best test Accuracy 0.4190
Epoch 0017/1000| Loss 2.1921 | Train Accuracy 0.4278 | Val Accuracy 0.4273 | Test Accuracy 0.4281 | Best val. Accuracy 0.4273 | Best test Accuracy 0.4281
Epoch 0018/1000| Loss 2.2072 | Train Accuracy 0.4324 | Val Accuracy 0.4323 | Test Accuracy 0.4322 | Best val. Accuracy 0.4323 | Best test Accuracy 0.4322
Epoch 0019/1000| Loss 2.2097 | Train Accuracy 0.4348 | Val Accuracy 0.4346 | Test Accuracy 0.4341 | Best val. Accuracy 0.4346 | Best test Accuracy 0.4341
Epoch 0020: Avg Forward 8.622ms, Avg Backward 3.064ms, Total per epoch 11.685ms
Epoch 0020/1000| Loss 2.1780 | Train Accuracy 0.4382 | Val Accuracy 0.4383 | Test Accuracy 0.4380 | Best val. Accuracy 0.4383 | Best test Accuracy 0.4380
Epoch 0021/1000| Loss 2.1166 | Train Accuracy 0.4410 | Val Accuracy 0.4429 | Test Accuracy 0.4398 | Best val. Accuracy 0.4429 | Best test Accuracy 0.4398
Epoch 0022/1000| Loss 2.0487 | Train Accuracy 0.4369 | Val Accuracy 0.4404 | Test Accuracy 0.4375 | Best val. Accuracy 0.4429 | Best test Accuracy 0.4398
Epoch 0023/1000| Loss 1.9987 | Train Accuracy 0.4229 | Val Accuracy 0.4277 | Test Accuracy 0.4274 | Best val. Accuracy 0.4429 | Best test Accuracy 0.4398
Epoch 0024/1000| Loss 1.9732 | Train Accuracy 0.4136 | Val Accuracy 0.4183 | Test Accuracy 0.4176 | Best val. Accuracy 0.4429 | Best test Accuracy 0.4398
Epoch 0025/1000| Loss 1.9545 | Train Accuracy 0.4081 | Val Accuracy 0.4117 | Test Accuracy 0.4102 | Best val. Accuracy 0.4429 | Best test Accuracy 0.4398
Epoch 0026/1000| Loss 1.9304 | Train Accuracy 0.4079 | Val Accuracy 0.4109 | Test Accuracy 0.4105 | Best val. Accuracy 0.4429 | Best test Accuracy 0.4398
Epoch 0027/1000| Loss 1.8979 | Train Accuracy 0.4170 | Val Accuracy 0.4204 | Test Accuracy 0.4189 | Best val. Accuracy 0.4429 | Best test Accuracy 0.4398
Epoch 0028/1000| Loss 1.8572 | Train Accuracy 0.4252 | Val Accuracy 0.4287 | Test Accuracy 0.4269 | Best val. Accuracy 0.4429 | Best test Accuracy 0.4398
Epoch 0029/1000| Loss 1.8105 | Train Accuracy 0.4373 | Val Accuracy 0.4397 | Test Accuracy 0.4375 | Best val. Accuracy 0.4429 | Best test Accuracy 0.4398
Epoch 0030/1000| Loss 1.7645 | Train Accuracy 0.4459 | Val Accuracy 0.4471 | Test Accuracy 0.4441 | Best val. Accuracy 0.4471 | Best test Accuracy 0.4441
Epoch 0031/1000| Loss 1.7291 | Train Accuracy 0.4473 | Val Accuracy 0.4482 | Test Accuracy 0.4479 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0032/1000| Loss 1.7103 | Train Accuracy 0.4418 | Val Accuracy 0.4422 | Test Accuracy 0.4455 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0033/1000| Loss 1.7057 | Train Accuracy 0.4326 | Val Accuracy 0.4347 | Test Accuracy 0.4357 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0034/1000| Loss 1.7087 | Train Accuracy 0.4190 | Val Accuracy 0.4218 | Test Accuracy 0.4230 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0035/1000| Loss 1.7142 | Train Accuracy 0.4066 | Val Accuracy 0.4069 | Test Accuracy 0.4108 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0036/1000| Loss 1.7186 | Train Accuracy 0.3993 | Val Accuracy 0.3958 | Test Accuracy 0.4009 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0037/1000| Loss 1.7194 | Train Accuracy 0.3951 | Val Accuracy 0.3929 | Test Accuracy 0.3960 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0038/1000| Loss 1.7136 | Train Accuracy 0.3970 | Val Accuracy 0.3973 | Test Accuracy 0.3962 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0039/1000| Loss 1.6999 | Train Accuracy 0.4072 | Val Accuracy 0.4071 | Test Accuracy 0.4052 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0040: Avg Forward 8.620ms, Avg Backward 3.069ms, Total per epoch 11.689ms
Epoch 0040/1000| Loss 1.6812 | Train Accuracy 0.4184 | Val Accuracy 0.4180 | Test Accuracy 0.4160 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0041/1000| Loss 1.6627 | Train Accuracy 0.4294 | Val Accuracy 0.4303 | Test Accuracy 0.4277 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0042/1000| Loss 1.6475 | Train Accuracy 0.4394 | Val Accuracy 0.4396 | Test Accuracy 0.4380 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
Epoch 0043/1000| Loss 1.6360 | Train Accuracy 0.4473 | Val Accuracy 0.4479 | Test Accuracy 0.4455 | Best val. Accuracy 0.4482 | Best test Accuracy 0.4479
