
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 524,039 total, 524,039 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 4.9141 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0001/1000| Loss 4.6833 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0002/1000| Loss 2.9283 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0003/1000| Loss 2.0161 | Train Accuracy 0.2587 | Val Accuracy 0.2592 | Test Accuracy 0.2553 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 1.7868 | Train Accuracy 0.3445 | Val Accuracy 0.3496 | Test Accuracy 0.3482 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 1.7498 | Train Accuracy 0.3897 | Val Accuracy 0.3977 | Test Accuracy 0.3949 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 1.8845 | Train Accuracy 0.4211 | Val Accuracy 0.4234 | Test Accuracy 0.4226 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0007/1000| Loss 1.7939 | Train Accuracy 0.4215 | Val Accuracy 0.4237 | Test Accuracy 0.4235 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0008/1000| Loss 1.7832 | Train Accuracy 0.4215 | Val Accuracy 0.4237 | Test Accuracy 0.4233 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0009/1000| Loss 1.7286 | Train Accuracy 0.4205 | Val Accuracy 0.4227 | Test Accuracy 0.4221 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0010/1000| Loss 1.7256 | Train Accuracy 0.4208 | Val Accuracy 0.4233 | Test Accuracy 0.4232 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0011/1000| Loss 1.7147 | Train Accuracy 0.4215 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0012/1000| Loss 1.6613 | Train Accuracy 0.4212 | Val Accuracy 0.4231 | Test Accuracy 0.4223 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0013/1000| Loss 1.6414 | Train Accuracy 0.4210 | Val Accuracy 0.4234 | Test Accuracy 0.4231 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0014/1000| Loss 1.6200 | Train Accuracy 0.4213 | Val Accuracy 0.4235 | Test Accuracy 0.4232 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0015/1000| Loss 1.6090 | Train Accuracy 0.4213 | Val Accuracy 0.4237 | Test Accuracy 0.4232 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0016/1000| Loss 1.6084 | Train Accuracy 0.4212 | Val Accuracy 0.4235 | Test Accuracy 0.4232 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0017/1000| Loss 1.6035 | Train Accuracy 0.4211 | Val Accuracy 0.4236 | Test Accuracy 0.4235 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0018/1000| Loss 1.6011 | Train Accuracy 0.4214 | Val Accuracy 0.4237 | Test Accuracy 0.4232 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0019/1000| Loss 1.5965 | Train Accuracy 0.4184 | Val Accuracy 0.4202 | Test Accuracy 0.4208 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0020: Avg Forward 7.405ms, Avg Backward 3.869ms, Total per epoch 11.274ms
Epoch 0020/1000| Loss 1.5863 | Train Accuracy 0.4023 | Val Accuracy 0.4025 | Test Accuracy 0.4033 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0021/1000| Loss 1.5862 | Train Accuracy 0.4112 | Val Accuracy 0.4140 | Test Accuracy 0.4121 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0022/1000| Loss 1.5845 | Train Accuracy 0.4371 | Val Accuracy 0.4390 | Test Accuracy 0.4384 | Best val. Accuracy 0.4390 | Best test Accuracy 0.4384
Epoch 0023/1000| Loss 1.5744 | Train Accuracy 0.4340 | Val Accuracy 0.4366 | Test Accuracy 0.4351 | Best val. Accuracy 0.4390 | Best test Accuracy 0.4384
Epoch 0024/1000| Loss 1.5672 | Train Accuracy 0.4627 | Val Accuracy 0.4619 | Test Accuracy 0.4649 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4649
Epoch 0025/1000| Loss 1.5591 | Train Accuracy 0.4577 | Val Accuracy 0.4564 | Test Accuracy 0.4584 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4649
Epoch 0026/1000| Loss 1.5496 | Train Accuracy 0.4523 | Val Accuracy 0.4547 | Test Accuracy 0.4513 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4649
Epoch 0027/1000| Loss 1.5845 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4649
Epoch 0028/1000| Loss 1.7536 | Train Accuracy 0.4208 | Val Accuracy 0.4229 | Test Accuracy 0.4228 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4649
Epoch 0029/1000| Loss 1.6459 | Train Accuracy 0.4197 | Val Accuracy 0.4222 | Test Accuracy 0.4215 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4649
Epoch 0030/1000| Loss 1.6712 | Train Accuracy 0.4250 | Val Accuracy 0.4273 | Test Accuracy 0.4268 | Best val. Accuracy 0.4619 | Best test Accuracy 0.4649
