
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=256
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 425,072 total, 425,072 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 256, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 93.7300 | Train Accuracy 0.6036 | Val Accuracy 0.5996 | Test Accuracy 0.5715 | Best val. Accuracy 0.5996 | Best test Accuracy 0.5715
Epoch 0001/1000| Loss 171.6048 | Train Accuracy 0.4159 | Val Accuracy 0.3782 | Test Accuracy 0.4495 | Best val. Accuracy 0.5996 | Best test Accuracy 0.5715
Epoch 0002/1000| Loss 219.9507 | Train Accuracy 0.6755 | Val Accuracy 0.6673 | Test Accuracy 0.5969 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0003/1000| Loss 434.1367 | Train Accuracy 0.4523 | Val Accuracy 0.3620 | Test Accuracy 0.4157 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0004/1000| Loss 155.3021 | Train Accuracy 0.6507 | Val Accuracy 0.5951 | Test Accuracy 0.5319 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0005/1000| Loss 365.7708 | Train Accuracy 0.4582 | Val Accuracy 0.3684 | Test Accuracy 0.4330 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0006/1000| Loss 189.5744 | Train Accuracy 0.4392 | Val Accuracy 0.3641 | Test Accuracy 0.4389 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0007/1000| Loss 206.0123 | Train Accuracy 0.5123 | Val Accuracy 0.4572 | Test Accuracy 0.5008 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0008/1000| Loss 102.0749 | Train Accuracy 0.6142 | Val Accuracy 0.6004 | Test Accuracy 0.5768 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0009/1000| Loss 383.0981 | Train Accuracy 0.5517 | Val Accuracy 0.5407 | Test Accuracy 0.5467 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0010/1000| Loss 125.1039 | Train Accuracy 0.5505 | Val Accuracy 0.5368 | Test Accuracy 0.5340 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0011/1000| Loss 122.9694 | Train Accuracy 0.5594 | Val Accuracy 0.4901 | Test Accuracy 0.4831 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0012/1000| Loss 90.4815 | Train Accuracy 0.5744 | Val Accuracy 0.5037 | Test Accuracy 0.4895 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0013/1000| Loss 99.3974 | Train Accuracy 0.5911 | Val Accuracy 0.5465 | Test Accuracy 0.5370 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0014/1000| Loss 94.5220 | Train Accuracy 0.6020 | Val Accuracy 0.5772 | Test Accuracy 0.5646 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0015/1000| Loss 84.2076 | Train Accuracy 0.6187 | Val Accuracy 0.5975 | Test Accuracy 0.5761 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0016/1000| Loss 63.1068 | Train Accuracy 0.6427 | Val Accuracy 0.6096 | Test Accuracy 0.5733 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0017/1000| Loss 52.7480 | Train Accuracy 0.6345 | Val Accuracy 0.6029 | Test Accuracy 0.5863 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0018/1000| Loss 67.9662 | Train Accuracy 0.5762 | Val Accuracy 0.5418 | Test Accuracy 0.5753 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0019/1000| Loss 49.8101 | Train Accuracy 0.5505 | Val Accuracy 0.5155 | Test Accuracy 0.5664 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0020: Avg Forward 47.488ms, Avg Backward 32.638ms, Total per epoch 80.126ms
Epoch 0020/1000| Loss 50.4997 | Train Accuracy 0.5823 | Val Accuracy 0.5472 | Test Accuracy 0.5800 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0021/1000| Loss 43.7402 | Train Accuracy 0.6534 | Val Accuracy 0.6217 | Test Accuracy 0.6037 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0022/1000| Loss 42.2024 | Train Accuracy 0.6686 | Val Accuracy 0.6511 | Test Accuracy 0.6276 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0023/1000| Loss 36.3685 | Train Accuracy 0.6261 | Val Accuracy 0.6187 | Test Accuracy 0.6191 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0024/1000| Loss 31.1793 | Train Accuracy 0.6026 | Val Accuracy 0.5968 | Test Accuracy 0.6019 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0025/1000| Loss 30.7947 | Train Accuracy 0.6059 | Val Accuracy 0.6065 | Test Accuracy 0.6016 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
Epoch 0026/1000| Loss 27.5668 | Train Accuracy 0.6167 | Val Accuracy 0.6255 | Test Accuracy 0.6110 | Best val. Accuracy 0.6673 | Best test Accuracy 0.5969
