
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 0.9634 | Train Accuracy 0.4711 | Val Accuracy 0.4757 | Test Accuracy 0.4868 | Best val. Accuracy 0.4757 | Best test Accuracy 0.4868
Epoch 0001/1000| Loss 0.6938 | Train Accuracy 0.4570 | Val Accuracy 0.4620 | Test Accuracy 0.4746 | Best val. Accuracy 0.4757 | Best test Accuracy 0.4868
Epoch 0002/1000| Loss 0.6553 | Train Accuracy 0.4493 | Val Accuracy 0.4454 | Test Accuracy 0.4719 | Best val. Accuracy 0.4757 | Best test Accuracy 0.4868
Epoch 0003/1000| Loss 0.5964 | Train Accuracy 0.4332 | Val Accuracy 0.4350 | Test Accuracy 0.4573 | Best val. Accuracy 0.4757 | Best test Accuracy 0.4868
Epoch 0004/1000| Loss 0.5744 | Train Accuracy 0.4463 | Val Accuracy 0.4140 | Test Accuracy 0.4509 | Best val. Accuracy 0.4757 | Best test Accuracy 0.4868
Epoch 0005/1000| Loss 0.5233 | Train Accuracy 0.5127 | Val Accuracy 0.4703 | Test Accuracy 0.4674 | Best val. Accuracy 0.4757 | Best test Accuracy 0.4868
Epoch 0006/1000| Loss 0.5022 | Train Accuracy 0.5243 | Val Accuracy 0.4758 | Test Accuracy 0.4847 | Best val. Accuracy 0.4758 | Best test Accuracy 0.4847
Epoch 0007/1000| Loss 0.4886 | Train Accuracy 0.4691 | Val Accuracy 0.4169 | Test Accuracy 0.4653 | Best val. Accuracy 0.4758 | Best test Accuracy 0.4847
Epoch 0008/1000| Loss 0.4544 | Train Accuracy 0.5273 | Val Accuracy 0.4690 | Test Accuracy 0.5108 | Best val. Accuracy 0.4758 | Best test Accuracy 0.4847
Epoch 0009/1000| Loss 0.4532 | Train Accuracy 0.5424 | Val Accuracy 0.4662 | Test Accuracy 0.4726 | Best val. Accuracy 0.4758 | Best test Accuracy 0.4847
Epoch 0010/1000| Loss 0.4163 | Train Accuracy 0.5688 | Val Accuracy 0.5009 | Test Accuracy 0.4882 | Best val. Accuracy 0.5009 | Best test Accuracy 0.4882
