
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 327,434 total, 327,434 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 4.1593 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0001/1000| Loss 4.0619 | Train Accuracy 0.2582 | Val Accuracy 0.2581 | Test Accuracy 0.2545 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0002/1000| Loss 3.0962 | Train Accuracy 0.1273 | Val Accuracy 0.1251 | Test Accuracy 0.1225 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0003/1000| Loss 1.7087 | Train Accuracy 0.1559 | Val Accuracy 0.1536 | Test Accuracy 0.1533 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 1.8231 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 2.3795 | Train Accuracy 0.1712 | Val Accuracy 0.1747 | Test Accuracy 0.1769 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 1.7378 | Train Accuracy 0.4119 | Val Accuracy 0.4168 | Test Accuracy 0.4135 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0007/1000| Loss 1.6539 | Train Accuracy 0.4314 | Val Accuracy 0.4333 | Test Accuracy 0.4339 | Best val. Accuracy 0.4333 | Best test Accuracy 0.4339
Epoch 0008/1000| Loss 1.7475 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4333 | Best test Accuracy 0.4339
Epoch 0009/1000| Loss 1.7018 | Train Accuracy 0.4216 | Val Accuracy 0.4241 | Test Accuracy 0.4234 | Best val. Accuracy 0.4333 | Best test Accuracy 0.4339
Epoch 0010/1000| Loss 1.6694 | Train Accuracy 0.4169 | Val Accuracy 0.4197 | Test Accuracy 0.4207 | Best val. Accuracy 0.4333 | Best test Accuracy 0.4339
Epoch 0011/1000| Loss 1.6238 | Train Accuracy 0.4217 | Val Accuracy 0.4240 | Test Accuracy 0.4237 | Best val. Accuracy 0.4333 | Best test Accuracy 0.4339
Epoch 0012/1000| Loss 1.6152 | Train Accuracy 0.4314 | Val Accuracy 0.4345 | Test Accuracy 0.4346 | Best val. Accuracy 0.4345 | Best test Accuracy 0.4346
Epoch 0013/1000| Loss 1.5867 | Train Accuracy 0.4363 | Val Accuracy 0.4390 | Test Accuracy 0.4390 | Best val. Accuracy 0.4390 | Best test Accuracy 0.4390
Epoch 0014/1000| Loss 1.5967 | Train Accuracy 0.4244 | Val Accuracy 0.4274 | Test Accuracy 0.4269 | Best val. Accuracy 0.4390 | Best test Accuracy 0.4390
Epoch 0015/1000| Loss 1.5850 | Train Accuracy 0.4251 | Val Accuracy 0.4279 | Test Accuracy 0.4276 | Best val. Accuracy 0.4390 | Best test Accuracy 0.4390
Epoch 0016/1000| Loss 1.5736 | Train Accuracy 0.4435 | Val Accuracy 0.4455 | Test Accuracy 0.4477 | Best val. Accuracy 0.4455 | Best test Accuracy 0.4477
Epoch 0017/1000| Loss 1.5749 | Train Accuracy 0.4588 | Val Accuracy 0.4575 | Test Accuracy 0.4605 | Best val. Accuracy 0.4575 | Best test Accuracy 0.4605
Epoch 0018/1000| Loss 1.5703 | Train Accuracy 0.4438 | Val Accuracy 0.4465 | Test Accuracy 0.4462 | Best val. Accuracy 0.4575 | Best test Accuracy 0.4605
Epoch 0019/1000| Loss 1.5617 | Train Accuracy 0.4405 | Val Accuracy 0.4431 | Test Accuracy 0.4432 | Best val. Accuracy 0.4575 | Best test Accuracy 0.4605
Epoch 0020: Avg Forward 7.623ms, Avg Backward 3.391ms, Total per epoch 11.014ms
Epoch 0020/1000| Loss 1.5615 | Train Accuracy 0.4560 | Val Accuracy 0.4533 | Test Accuracy 0.4580 | Best val. Accuracy 0.4575 | Best test Accuracy 0.4605
Epoch 0021/1000| Loss 1.5581 | Train Accuracy 0.4655 | Val Accuracy 0.4660 | Test Accuracy 0.4667 | Best val. Accuracy 0.4660 | Best test Accuracy 0.4667
Epoch 0022/1000| Loss 1.5489 | Train Accuracy 0.4671 | Val Accuracy 0.4675 | Test Accuracy 0.4682 | Best val. Accuracy 0.4675 | Best test Accuracy 0.4682
Epoch 0023/1000| Loss 1.5413 | Train Accuracy 0.4628 | Val Accuracy 0.4610 | Test Accuracy 0.4616 | Best val. Accuracy 0.4675 | Best test Accuracy 0.4682
Epoch 0024/1000| Loss 1.5421 | Train Accuracy 0.4685 | Val Accuracy 0.4663 | Test Accuracy 0.4676 | Best val. Accuracy 0.4675 | Best test Accuracy 0.4682
Epoch 0025/1000| Loss 1.5392 | Train Accuracy 0.4758 | Val Accuracy 0.4744 | Test Accuracy 0.4748 | Best val. Accuracy 0.4744 | Best test Accuracy 0.4748
Epoch 0026/1000| Loss 1.5288 | Train Accuracy 0.4778 | Val Accuracy 0.4769 | Test Accuracy 0.4768 | Best val. Accuracy 0.4769 | Best test Accuracy 0.4768
Epoch 0027/1000| Loss 1.5223 | Train Accuracy 0.4735 | Val Accuracy 0.4689 | Test Accuracy 0.4722 | Best val. Accuracy 0.4769 | Best test Accuracy 0.4768
Epoch 0028/1000| Loss 1.5171 | Train Accuracy 0.4733 | Val Accuracy 0.4682 | Test Accuracy 0.4716 | Best val. Accuracy 0.4769 | Best test Accuracy 0.4768
Epoch 0029/1000| Loss 1.5199 | Train Accuracy 0.4791 | Val Accuracy 0.4738 | Test Accuracy 0.4779 | Best val. Accuracy 0.4769 | Best test Accuracy 0.4768
Epoch 0030/1000| Loss 1.5153 | Train Accuracy 0.4782 | Val Accuracy 0.4717 | Test Accuracy 0.4770 | Best val. Accuracy 0.4769 | Best test Accuracy 0.4768
Epoch 0031/1000| Loss 1.5033 | Train Accuracy 0.4793 | Val Accuracy 0.4745 | Test Accuracy 0.4784 | Best val. Accuracy 0.4769 | Best test Accuracy 0.4768
Epoch 0032/1000| Loss 1.5013 | Train Accuracy 0.4848 | Val Accuracy 0.4832 | Test Accuracy 0.4829 | Best val. Accuracy 0.4832 | Best test Accuracy 0.4829
Epoch 0033/1000| Loss 1.4983 | Train Accuracy 0.4499 | Val Accuracy 0.4495 | Test Accuracy 0.4519 | Best val. Accuracy 0.4832 | Best test Accuracy 0.4829
Epoch 0034/1000| Loss 1.5410 | Train Accuracy 0.4611 | Val Accuracy 0.4633 | Test Accuracy 0.4583 | Best val. Accuracy 0.4832 | Best test Accuracy 0.4829
Epoch 0035/1000| Loss 1.5343 | Train Accuracy 0.4852 | Val Accuracy 0.4824 | Test Accuracy 0.4825 | Best val. Accuracy 0.4832 | Best test Accuracy 0.4829
Epoch 0036/1000| Loss 1.5073 | Train Accuracy 0.4543 | Val Accuracy 0.4516 | Test Accuracy 0.4546 | Best val. Accuracy 0.4832 | Best test Accuracy 0.4829
Epoch 0037/1000| Loss 1.5009 | Train Accuracy 0.4458 | Val Accuracy 0.4453 | Test Accuracy 0.4462 | Best val. Accuracy 0.4832 | Best test Accuracy 0.4829
