
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 425,072 total, 425,072 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 7.8022 | Train Accuracy 0.4413 | Val Accuracy 0.4437 | Test Accuracy 0.4854 | Best val. Accuracy 0.4437 | Best test Accuracy 0.4854
Epoch 0001/1000| Loss 2.0716 | Train Accuracy 0.4632 | Val Accuracy 0.4659 | Test Accuracy 0.4941 | Best val. Accuracy 0.4659 | Best test Accuracy 0.4941
Epoch 0002/1000| Loss 0.8432 | Train Accuracy 0.4602 | Val Accuracy 0.4650 | Test Accuracy 0.4752 | Best val. Accuracy 0.4659 | Best test Accuracy 0.4941
Epoch 0003/1000| Loss 0.6046 | Train Accuracy 0.4064 | Val Accuracy 0.4144 | Test Accuracy 0.4479 | Best val. Accuracy 0.4659 | Best test Accuracy 0.4941
Epoch 0004/1000| Loss 0.6808 | Train Accuracy 0.3696 | Val Accuracy 0.3834 | Test Accuracy 0.4367 | Best val. Accuracy 0.4659 | Best test Accuracy 0.4941
Epoch 0005/1000| Loss 0.6271 | Train Accuracy 0.3964 | Val Accuracy 0.4100 | Test Accuracy 0.4545 | Best val. Accuracy 0.4659 | Best test Accuracy 0.4941
Epoch 0006/1000| Loss 0.5714 | Train Accuracy 0.4184 | Val Accuracy 0.4181 | Test Accuracy 0.4452 | Best val. Accuracy 0.4659 | Best test Accuracy 0.4941
Epoch 0007/1000| Loss 0.4775 | Train Accuracy 0.4467 | Val Accuracy 0.4546 | Test Accuracy 0.4546 | Best val. Accuracy 0.4659 | Best test Accuracy 0.4941
Epoch 0008/1000| Loss 0.4564 | Train Accuracy 0.5057 | Val Accuracy 0.5087 | Test Accuracy 0.4746 | Best val. Accuracy 0.5087 | Best test Accuracy 0.4746
Epoch 0009/1000| Loss 0.5978 | Train Accuracy 0.4510 | Val Accuracy 0.4582 | Test Accuracy 0.4606 | Best val. Accuracy 0.5087 | Best test Accuracy 0.4746
Epoch 0010/1000| Loss 0.5955 | Train Accuracy 0.4808 | Val Accuracy 0.4690 | Test Accuracy 0.4672 | Best val. Accuracy 0.5087 | Best test Accuracy 0.4746
Epoch 0011/1000| Loss 0.5596 | Train Accuracy 0.5300 | Val Accuracy 0.5002 | Test Accuracy 0.4993 | Best val. Accuracy 0.5087 | Best test Accuracy 0.4746
Epoch 0012/1000| Loss 0.4635 | Train Accuracy 0.5984 | Val Accuracy 0.5374 | Test Accuracy 0.5203 | Best val. Accuracy 0.5374 | Best test Accuracy 0.5203
Epoch 0013/1000| Loss 0.4538 | Train Accuracy 0.6304 | Val Accuracy 0.5616 | Test Accuracy 0.5315 | Best val. Accuracy 0.5616 | Best test Accuracy 0.5315
Epoch 0014/1000| Loss 0.4099 | Train Accuracy 0.6374 | Val Accuracy 0.5604 | Test Accuracy 0.5442 | Best val. Accuracy 0.5616 | Best test Accuracy 0.5315
Epoch 0015/1000| Loss 0.4084 | Train Accuracy 0.6315 | Val Accuracy 0.5750 | Test Accuracy 0.5554 | Best val. Accuracy 0.5750 | Best test Accuracy 0.5554
Epoch 0016/1000| Loss 0.3851 | Train Accuracy 0.6225 | Val Accuracy 0.5756 | Test Accuracy 0.5510 | Best val. Accuracy 0.5756 | Best test Accuracy 0.5510
Epoch 0017/1000| Loss 0.3783 | Train Accuracy 0.6207 | Val Accuracy 0.5824 | Test Accuracy 0.5521 | Best val. Accuracy 0.5824 | Best test Accuracy 0.5521
