
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 235,314 total, 235,314 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 39575.2852 | Train Accuracy 0.1246 | Val Accuracy 0.1229 | Test Accuracy 0.0963 | Best val. Accuracy 0.1229 | Best test Accuracy 0.0963
Epoch 0001/1000| Loss 48958.0625 | Train Accuracy 0.1020 | Val Accuracy 0.1083 | Test Accuracy 0.0873 | Best val. Accuracy 0.1229 | Best test Accuracy 0.0963
Epoch 0002/1000| Loss 49578.6562 | Train Accuracy 0.0666 | Val Accuracy 0.0627 | Test Accuracy 0.0520 | Best val. Accuracy 0.1229 | Best test Accuracy 0.0963
Epoch 0003/1000| Loss 30690.4805 | Train Accuracy 0.2635 | Val Accuracy 0.2593 | Test Accuracy 0.1961 | Best val. Accuracy 0.2593 | Best test Accuracy 0.1961
Epoch 0004/1000| Loss 22821.3457 | Train Accuracy 0.2384 | Val Accuracy 0.2330 | Test Accuracy 0.1717 | Best val. Accuracy 0.2593 | Best test Accuracy 0.1961
Epoch 0005/1000| Loss 7082.9219 | Train Accuracy 0.2389 | Val Accuracy 0.2377 | Test Accuracy 0.1785 | Best val. Accuracy 0.2593 | Best test Accuracy 0.1961
Epoch 0006/1000| Loss 2050.0708 | Train Accuracy 0.2420 | Val Accuracy 0.2401 | Test Accuracy 0.1963 | Best val. Accuracy 0.2593 | Best test Accuracy 0.1961
Epoch 0007/1000| Loss 6793.0244 | Train Accuracy 0.1752 | Val Accuracy 0.1781 | Test Accuracy 0.1360 | Best val. Accuracy 0.2593 | Best test Accuracy 0.1961
Epoch 0008/1000| Loss 2501.7451 | Train Accuracy 0.0845 | Val Accuracy 0.0849 | Test Accuracy 0.0732 | Best val. Accuracy 0.2593 | Best test Accuracy 0.1961
Epoch 0009/1000| Loss 2805.4121 | Train Accuracy 0.1815 | Val Accuracy 0.1755 | Test Accuracy 0.1395 | Best val. Accuracy 0.2593 | Best test Accuracy 0.1961
Epoch 0010/1000| Loss 2772.5129 | Train Accuracy 0.2322 | Val Accuracy 0.2275 | Test Accuracy 0.1695 | Best val. Accuracy 0.2593 | Best test Accuracy 0.1961
Epoch 0011/1000| Loss 1965.3989 | Train Accuracy 0.1703 | Val Accuracy 0.1749 | Test Accuracy 0.1409 | Best val. Accuracy 0.2593 | Best test Accuracy 0.1961
Epoch 0012/1000| Loss 1176.1827 | Train Accuracy 0.2733 | Val Accuracy 0.2728 | Test Accuracy 0.2019 | Best val. Accuracy 0.2728 | Best test Accuracy 0.2019
Epoch 0013/1000| Loss 947.1573 | Train Accuracy 0.1410 | Val Accuracy 0.1413 | Test Accuracy 0.1006 | Best val. Accuracy 0.2728 | Best test Accuracy 0.2019
Epoch 0014/1000| Loss 558.5981 | Train Accuracy 0.1085 | Val Accuracy 0.1070 | Test Accuracy 0.0812 | Best val. Accuracy 0.2728 | Best test Accuracy 0.2019
Epoch 0015/1000| Loss 522.9117 | Train Accuracy 0.0901 | Val Accuracy 0.0882 | Test Accuracy 0.0716 | Best val. Accuracy 0.2728 | Best test Accuracy 0.2019
Epoch 0016/1000| Loss 582.2071 | Train Accuracy 0.0789 | Val Accuracy 0.0728 | Test Accuracy 0.0529 | Best val. Accuracy 0.2728 | Best test Accuracy 0.2019
Epoch 0017/1000| Loss 391.4109 | Train Accuracy 0.1105 | Val Accuracy 0.1050 | Test Accuracy 0.0793 | Best val. Accuracy 0.2728 | Best test Accuracy 0.2019
Epoch 0018/1000| Loss 383.7646 | Train Accuracy 0.2235 | Val Accuracy 0.2048 | Test Accuracy 0.1326 | Best val. Accuracy 0.2728 | Best test Accuracy 0.2019
Epoch 0019/1000| Loss 241.8558 | Train Accuracy 0.3024 | Val Accuracy 0.2794 | Test Accuracy 0.1830 | Best val. Accuracy 0.2794 | Best test Accuracy 0.1830
Epoch 0020: Avg Forward 251.357ms, Avg Backward 151.067ms, Total per epoch 402.424ms
Epoch 0020/1000| Loss 262.2741 | Train Accuracy 0.3068 | Val Accuracy 0.2890 | Test Accuracy 0.1945 | Best val. Accuracy 0.2890 | Best test Accuracy 0.1945
Epoch 0021/1000| Loss 221.0973 | Train Accuracy 0.2974 | Val Accuracy 0.2737 | Test Accuracy 0.1857 | Best val. Accuracy 0.2890 | Best test Accuracy 0.1945
Epoch 0022/1000| Loss 126.7731 | Train Accuracy 0.2246 | Val Accuracy 0.2075 | Test Accuracy 0.1459 | Best val. Accuracy 0.2890 | Best test Accuracy 0.1945
Epoch 0023/1000| Loss 118.0061 | Train Accuracy 0.3258 | Val Accuracy 0.3053 | Test Accuracy 0.2085 | Best val. Accuracy 0.3053 | Best test Accuracy 0.2085
Epoch 0024/1000| Loss 93.2887 | Train Accuracy 0.3562 | Val Accuracy 0.3351 | Test Accuracy 0.2374 | Best val. Accuracy 0.3351 | Best test Accuracy 0.2374
Epoch 0025/1000| Loss 104.5525 | Train Accuracy 0.3477 | Val Accuracy 0.3322 | Test Accuracy 0.2356 | Best val. Accuracy 0.3351 | Best test Accuracy 0.2374
Epoch 0026/1000| Loss 233.5109 | Train Accuracy 0.4214 | Val Accuracy 0.4134 | Test Accuracy 0.2972 | Best val. Accuracy 0.4134 | Best test Accuracy 0.2972
Epoch 0027/1000| Loss 78.3500 | Train Accuracy 0.4806 | Val Accuracy 0.4707 | Test Accuracy 0.3331 | Best val. Accuracy 0.4707 | Best test Accuracy 0.3331
Epoch 0028/1000| Loss 57.5523 | Train Accuracy 0.4873 | Val Accuracy 0.4806 | Test Accuracy 0.3410 | Best val. Accuracy 0.4806 | Best test Accuracy 0.3410
Epoch 0029/1000| Loss 57.4248 | Train Accuracy 0.4915 | Val Accuracy 0.4808 | Test Accuracy 0.3453 | Best val. Accuracy 0.4808 | Best test Accuracy 0.3453
Epoch 0030/1000| Loss 202.9686 | Train Accuracy 0.4714 | Val Accuracy 0.4616 | Test Accuracy 0.3386 | Best val. Accuracy 0.4808 | Best test Accuracy 0.3453
