
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GCN model...
Using MaxK-accelerated GCN model
Model parameters: 228,464 total, 228,464 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 28160.9414 | Train Accuracy 0.4413 | Val Accuracy 0.4145 | Test Accuracy 0.4442 | Best val. Accuracy 0.4145 | Best test Accuracy 0.4442
Epoch 0001/1000| Loss 14840.6914 | Train Accuracy 0.4310 | Val Accuracy 0.4043 | Test Accuracy 0.4429 | Best val. Accuracy 0.4145 | Best test Accuracy 0.4442
Epoch 0002/1000| Loss 9239.7842 | Train Accuracy 0.4271 | Val Accuracy 0.4012 | Test Accuracy 0.4361 | Best val. Accuracy 0.4145 | Best test Accuracy 0.4442
Epoch 0003/1000| Loss 8056.8032 | Train Accuracy 0.4192 | Val Accuracy 0.3849 | Test Accuracy 0.4313 | Best val. Accuracy 0.4145 | Best test Accuracy 0.4442
Epoch 0004/1000| Loss 8218.5859 | Train Accuracy 0.4141 | Val Accuracy 0.3833 | Test Accuracy 0.4274 | Best val. Accuracy 0.4145 | Best test Accuracy 0.4442
Epoch 0005/1000| Loss 8772.9629 | Train Accuracy 0.4186 | Val Accuracy 0.3869 | Test Accuracy 0.4302 | Best val. Accuracy 0.4145 | Best test Accuracy 0.4442
Epoch 0006/1000| Loss 8858.0010 | Train Accuracy 0.4292 | Val Accuracy 0.3969 | Test Accuracy 0.4359 | Best val. Accuracy 0.4145 | Best test Accuracy 0.4442
Epoch 0007/1000| Loss 8641.5029 | Train Accuracy 0.4335 | Val Accuracy 0.3972 | Test Accuracy 0.4346 | Best val. Accuracy 0.4145 | Best test Accuracy 0.4442
Epoch 0008/1000| Loss 8354.6113 | Train Accuracy 0.4435 | Val Accuracy 0.4024 | Test Accuracy 0.4357 | Best val. Accuracy 0.4145 | Best test Accuracy 0.4442
Epoch 0009/1000| Loss 8093.2051 | Train Accuracy 0.4546 | Val Accuracy 0.4132 | Test Accuracy 0.4413 | Best val. Accuracy 0.4145 | Best test Accuracy 0.4442
Epoch 0010/1000| Loss 7609.2290 | Train Accuracy 0.4688 | Val Accuracy 0.4314 | Test Accuracy 0.4518 | Best val. Accuracy 0.4314 | Best test Accuracy 0.4518
Epoch 0011/1000| Loss 7006.7554 | Train Accuracy 0.4744 | Val Accuracy 0.4434 | Test Accuracy 0.4639 | Best val. Accuracy 0.4434 | Best test Accuracy 0.4639
Epoch 0012/1000| Loss 6568.1006 | Train Accuracy 0.4894 | Val Accuracy 0.4581 | Test Accuracy 0.4756 | Best val. Accuracy 0.4581 | Best test Accuracy 0.4756
Epoch 0013/1000| Loss 6169.6318 | Train Accuracy 0.5010 | Val Accuracy 0.4686 | Test Accuracy 0.4801 | Best val. Accuracy 0.4686 | Best test Accuracy 0.4801
Epoch 0014/1000| Loss 5844.6919 | Train Accuracy 0.5110 | Val Accuracy 0.4792 | Test Accuracy 0.4836 | Best val. Accuracy 0.4792 | Best test Accuracy 0.4836
Epoch 0015/1000| Loss 5581.8423 | Train Accuracy 0.5274 | Val Accuracy 0.4984 | Test Accuracy 0.4894 | Best val. Accuracy 0.4984 | Best test Accuracy 0.4894
Epoch 0016/1000| Loss 5189.3086 | Train Accuracy 0.5307 | Val Accuracy 0.4997 | Test Accuracy 0.4929 | Best val. Accuracy 0.4997 | Best test Accuracy 0.4929
Epoch 0017/1000| Loss 4796.9878 | Train Accuracy 0.5311 | Val Accuracy 0.4953 | Test Accuracy 0.4890 | Best val. Accuracy 0.4997 | Best test Accuracy 0.4929
Epoch 0018/1000| Loss 4342.4756 | Train Accuracy 0.5225 | Val Accuracy 0.4839 | Test Accuracy 0.4841 | Best val. Accuracy 0.4997 | Best test Accuracy 0.4929
Epoch 0019/1000| Loss 4172.9990 | Train Accuracy 0.5152 | Val Accuracy 0.4726 | Test Accuracy 0.4823 | Best val. Accuracy 0.4997 | Best test Accuracy 0.4929
Epoch 0020: Avg Forward 28.033ms, Avg Backward 18.991ms, Total per epoch 47.024ms
Epoch 0020/1000| Loss 4042.4722 | Train Accuracy 0.5095 | Val Accuracy 0.4644 | Test Accuracy 0.4788 | Best val. Accuracy 0.4997 | Best test Accuracy 0.4929
Epoch 0021/1000| Loss 3750.4390 | Train Accuracy 0.5143 | Val Accuracy 0.4715 | Test Accuracy 0.4845 | Best val. Accuracy 0.4997 | Best test Accuracy 0.4929
Epoch 0022/1000| Loss 3589.9324 | Train Accuracy 0.5324 | Val Accuracy 0.4924 | Test Accuracy 0.4942 | Best val. Accuracy 0.4997 | Best test Accuracy 0.4929
Epoch 0023/1000| Loss 3430.2246 | Train Accuracy 0.5494 | Val Accuracy 0.5088 | Test Accuracy 0.5078 | Best val. Accuracy 0.5088 | Best test Accuracy 0.5078
Epoch 0024/1000| Loss 3286.2012 | Train Accuracy 0.5640 | Val Accuracy 0.5274 | Test Accuracy 0.5189 | Best val. Accuracy 0.5274 | Best test Accuracy 0.5189
Epoch 0025/1000| Loss 3096.0830 | Train Accuracy 0.5601 | Val Accuracy 0.5255 | Test Accuracy 0.5187 | Best val. Accuracy 0.5274 | Best test Accuracy 0.5189
Epoch 0026/1000| Loss 2941.5945 | Train Accuracy 0.5424 | Val Accuracy 0.5070 | Test Accuracy 0.5056 | Best val. Accuracy 0.5274 | Best test Accuracy 0.5189
Epoch 0027/1000| Loss 2709.4304 | Train Accuracy 0.5360 | Val Accuracy 0.4995 | Test Accuracy 0.4995 | Best val. Accuracy 0.5274 | Best test Accuracy 0.5189
Epoch 0028/1000| Loss 2577.8044 | Train Accuracy 0.5347 | Val Accuracy 0.5019 | Test Accuracy 0.5014 | Best val. Accuracy 0.5274 | Best test Accuracy 0.5189
Epoch 0029/1000| Loss 2575.7217 | Train Accuracy 0.5426 | Val Accuracy 0.5117 | Test Accuracy 0.5091 | Best val. Accuracy 0.5274 | Best test Accuracy 0.5189
Epoch 0030/1000| Loss 2516.7336 | Train Accuracy 0.5519 | Val Accuracy 0.5220 | Test Accuracy 0.5129 | Best val. Accuracy 0.5274 | Best test Accuracy 0.5189
Epoch 0031/1000| Loss 2455.3716 | Train Accuracy 0.5416 | Val Accuracy 0.5182 | Test Accuracy 0.5145 | Best val. Accuracy 0.5274 | Best test Accuracy 0.5189
Epoch 0032/1000| Loss 2347.1787 | Train Accuracy 0.5415 | Val Accuracy 0.5145 | Test Accuracy 0.5125 | Best val. Accuracy 0.5274 | Best test Accuracy 0.5189
Epoch 0033/1000| Loss 2205.4536 | Train Accuracy 0.5507 | Val Accuracy 0.5227 | Test Accuracy 0.5178 | Best val. Accuracy 0.5274 | Best test Accuracy 0.5189
Epoch 0034/1000| Loss 2123.5007 | Train Accuracy 0.5550 | Val Accuracy 0.5274 | Test Accuracy 0.5199 | Best val. Accuracy 0.5274 | Best test Accuracy 0.5189
Epoch 0035/1000| Loss 2003.8104 | Train Accuracy 0.5614 | Val Accuracy 0.5325 | Test Accuracy 0.5235 | Best val. Accuracy 0.5325 | Best test Accuracy 0.5235
Epoch 0036/1000| Loss 1910.9923 | Train Accuracy 0.5603 | Val Accuracy 0.5320 | Test Accuracy 0.5260 | Best val. Accuracy 0.5325 | Best test Accuracy 0.5235
Epoch 0037/1000| Loss 1906.0546 | Train Accuracy 0.5635 | Val Accuracy 0.5404 | Test Accuracy 0.5249 | Best val. Accuracy 0.5404 | Best test Accuracy 0.5249
Epoch 0038/1000| Loss 1760.1541 | Train Accuracy 0.5546 | Val Accuracy 0.5330 | Test Accuracy 0.5236 | Best val. Accuracy 0.5404 | Best test Accuracy 0.5249
Epoch 0039/1000| Loss 1749.7063 | Train Accuracy 0.5559 | Val Accuracy 0.5339 | Test Accuracy 0.5236 | Best val. Accuracy 0.5404 | Best test Accuracy 0.5249
Epoch 0040: Avg Forward 28.027ms, Avg Backward 18.989ms, Total per epoch 47.016ms
Epoch 0040/1000| Loss 1704.6693 | Train Accuracy 0.5551 | Val Accuracy 0.5297 | Test Accuracy 0.5265 | Best val. Accuracy 0.5404 | Best test Accuracy 0.5249
Epoch 0041/1000| Loss 1645.7417 | Train Accuracy 0.5496 | Val Accuracy 0.5255 | Test Accuracy 0.5280 | Best val. Accuracy 0.5404 | Best test Accuracy 0.5249
Epoch 0042/1000| Loss 1608.7729 | Train Accuracy 0.5640 | Val Accuracy 0.5430 | Test Accuracy 0.5264 | Best val. Accuracy 0.5430 | Best test Accuracy 0.5264
Epoch 0043/1000| Loss 1583.3311 | Train Accuracy 0.5698 | Val Accuracy 0.5425 | Test Accuracy 0.5264 | Best val. Accuracy 0.5430 | Best test Accuracy 0.5264
Epoch 0044/1000| Loss 1533.0601 | Train Accuracy 0.5581 | Val Accuracy 0.5308 | Test Accuracy 0.5282 | Best val. Accuracy 0.5430 | Best test Accuracy 0.5264
Epoch 0045/1000| Loss 1478.4520 | Train Accuracy 0.5563 | Val Accuracy 0.5289 | Test Accuracy 0.5244 | Best val. Accuracy 0.5430 | Best test Accuracy 0.5264
Epoch 0046/1000| Loss 1410.2209 | Train Accuracy 0.5683 | Val Accuracy 0.5388 | Test Accuracy 0.5231 | Best val. Accuracy 0.5430 | Best test Accuracy 0.5264
Epoch 0047/1000| Loss 1373.3623 | Train Accuracy 0.5657 | Val Accuracy 0.5351 | Test Accuracy 0.5192 | Best val. Accuracy 0.5430 | Best test Accuracy 0.5264
Epoch 0048/1000| Loss 1395.5697 | Train Accuracy 0.5597 | Val Accuracy 0.5316 | Test Accuracy 0.5145 | Best val. Accuracy 0.5430 | Best test Accuracy 0.5264
Epoch 0049/1000| Loss 1316.2509 | Train Accuracy 0.5545 | Val Accuracy 0.5295 | Test Accuracy 0.5166 | Best val. Accuracy 0.5430 | Best test Accuracy 0.5264
Epoch 0050/1000| Loss 1373.2074 | Train Accuracy 0.5656 | Val Accuracy 0.5412 | Test Accuracy 0.5203 | Best val. Accuracy 0.5430 | Best test Accuracy 0.5264
