
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 235,314 total, 235,314 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 723258.1875 | Train Accuracy 0.0852 | Val Accuracy 0.0862 | Test Accuracy 0.0759 | Best val. Accuracy 0.0862 | Best test Accuracy 0.0759
Epoch 0001/1000| Loss 1176652.3750 | Train Accuracy 0.3083 | Val Accuracy 0.3083 | Test Accuracy 0.2681 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2681
Epoch 0002/1000| Loss 2214834.5000 | Train Accuracy 0.0666 | Val Accuracy 0.0634 | Test Accuracy 0.0509 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2681
Epoch 0003/1000| Loss 864903.1875 | Train Accuracy 0.1251 | Val Accuracy 0.1296 | Test Accuracy 0.1059 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2681
Epoch 0004/1000| Loss 354736.7500 | Train Accuracy 0.1075 | Val Accuracy 0.1123 | Test Accuracy 0.0995 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2681
Epoch 0005/1000| Loss 435993.5938 | Train Accuracy 0.0768 | Val Accuracy 0.0689 | Test Accuracy 0.0544 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2681
Epoch 0006/1000| Loss 228286.5312 | Train Accuracy 0.0193 | Val Accuracy 0.0256 | Test Accuracy 0.0474 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2681
Epoch 0007/1000| Loss 161110.9844 | Train Accuracy 0.2796 | Val Accuracy 0.2763 | Test Accuracy 0.2303 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2681
Epoch 0008/1000| Loss 88534.4297 | Train Accuracy 0.1141 | Val Accuracy 0.1165 | Test Accuracy 0.0963 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2681
Epoch 0009/1000| Loss 104502.4453 | Train Accuracy 0.0865 | Val Accuracy 0.0894 | Test Accuracy 0.0753 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2681
Epoch 0010/1000| Loss 84271.2031 | Train Accuracy 0.3697 | Val Accuracy 0.3699 | Test Accuracy 0.3092 | Best val. Accuracy 0.3699 | Best test Accuracy 0.3092
