
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=256
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GCN model...
Using MaxK-accelerated GCN model
Model parameters: 228,464 total, 228,464 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 256, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 173155.8906 | Train Accuracy 0.4900 | Val Accuracy 0.4819 | Test Accuracy 0.4902 | Best val. Accuracy 0.4819 | Best test Accuracy 0.4902
Epoch 0001/1000| Loss 143108.9531 | Train Accuracy 0.4239 | Val Accuracy 0.4105 | Test Accuracy 0.4446 | Best val. Accuracy 0.4819 | Best test Accuracy 0.4902
Epoch 0002/1000| Loss 81824.6016 | Train Accuracy 0.3813 | Val Accuracy 0.3628 | Test Accuracy 0.4216 | Best val. Accuracy 0.4819 | Best test Accuracy 0.4902
Epoch 0003/1000| Loss 88763.5547 | Train Accuracy 0.3816 | Val Accuracy 0.3608 | Test Accuracy 0.4226 | Best val. Accuracy 0.4819 | Best test Accuracy 0.4902
Epoch 0004/1000| Loss 99420.8047 | Train Accuracy 0.3898 | Val Accuracy 0.3662 | Test Accuracy 0.4292 | Best val. Accuracy 0.4819 | Best test Accuracy 0.4902
Epoch 0005/1000| Loss 101256.2031 | Train Accuracy 0.3929 | Val Accuracy 0.3690 | Test Accuracy 0.4294 | Best val. Accuracy 0.4819 | Best test Accuracy 0.4902
Epoch 0006/1000| Loss 99675.5469 | Train Accuracy 0.3949 | Val Accuracy 0.3687 | Test Accuracy 0.4305 | Best val. Accuracy 0.4819 | Best test Accuracy 0.4902
Epoch 0007/1000| Loss 92922.5469 | Train Accuracy 0.4090 | Val Accuracy 0.3845 | Test Accuracy 0.4399 | Best val. Accuracy 0.4819 | Best test Accuracy 0.4902
Epoch 0008/1000| Loss 88351.1250 | Train Accuracy 0.4332 | Val Accuracy 0.4135 | Test Accuracy 0.4555 | Best val. Accuracy 0.4819 | Best test Accuracy 0.4902
Epoch 0009/1000| Loss 83473.4922 | Train Accuracy 0.4507 | Val Accuracy 0.4379 | Test Accuracy 0.4726 | Best val. Accuracy 0.4819 | Best test Accuracy 0.4902
Epoch 0010/1000| Loss 80043.8828 | Train Accuracy 0.4496 | Val Accuracy 0.4345 | Test Accuracy 0.4723 | Best val. Accuracy 0.4819 | Best test Accuracy 0.4902
