
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 524,039 total, 524,039 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0028/1000| Loss 6.1104 | Train Accuracy 0.1461 | Val Accuracy 0.1532 | Test Accuracy 0.1517 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0029/1000| Loss 6.0100 | Train Accuracy 0.3228 | Val Accuracy 0.3193 | Test Accuracy 0.3198 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0030/1000| Loss 5.1244 | Train Accuracy 0.0724 | Val Accuracy 0.0711 | Test Accuracy 0.0693 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0031/1000| Loss 8.4265 | Train Accuracy 0.3676 | Val Accuracy 0.3683 | Test Accuracy 0.3692 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0032/1000| Loss 4.9286 | Train Accuracy 0.4157 | Val Accuracy 0.4172 | Test Accuracy 0.4182 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0033/1000| Loss 5.1056 | Train Accuracy 0.1865 | Val Accuracy 0.1819 | Test Accuracy 0.1850 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0034/1000| Loss 5.2062 | Train Accuracy 0.0428 | Val Accuracy 0.0419 | Test Accuracy 0.0422 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0035/1000| Loss 5.3799 | Train Accuracy 0.0441 | Val Accuracy 0.0426 | Test Accuracy 0.0437 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0036/1000| Loss 5.0790 | Train Accuracy 0.0520 | Val Accuracy 0.0529 | Test Accuracy 0.0521 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0037/1000| Loss 4.8245 | Train Accuracy 0.0394 | Val Accuracy 0.0391 | Test Accuracy 0.0397 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
