
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 235,314 total, 235,314 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 1236213.8750 | Train Accuracy 0.0787 | Val Accuracy 0.0799 | Test Accuracy 0.0690 | Best val. Accuracy 0.0799 | Best test Accuracy 0.0690
Epoch 0001/1000| Loss 4426524.0000 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0002/1000| Loss 4442736.0000 | Train Accuracy 0.0623 | Val Accuracy 0.0583 | Test Accuracy 0.0429 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0003/1000| Loss 1531534.2500 | Train Accuracy 0.0569 | Val Accuracy 0.0575 | Test Accuracy 0.0437 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0004/1000| Loss 2046582.2500 | Train Accuracy 0.0633 | Val Accuracy 0.0624 | Test Accuracy 0.0636 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0005/1000| Loss 646091.0625 | Train Accuracy 0.0325 | Val Accuracy 0.0289 | Test Accuracy 0.0281 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0006/1000| Loss 834209.6875 | Train Accuracy 0.2241 | Val Accuracy 0.2295 | Test Accuracy 0.2042 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0007/1000| Loss 355893.2812 | Train Accuracy 0.2865 | Val Accuracy 0.2948 | Test Accuracy 0.2568 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0008/1000| Loss 323922.0000 | Train Accuracy 0.1273 | Val Accuracy 0.1180 | Test Accuracy 0.0888 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0009/1000| Loss 190758.9844 | Train Accuracy 0.3003 | Val Accuracy 0.2949 | Test Accuracy 0.2175 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0010/1000| Loss 130946.8672 | Train Accuracy 0.4428 | Val Accuracy 0.4430 | Test Accuracy 0.3541 | Best val. Accuracy 0.4430 | Best test Accuracy 0.3541
Epoch 0011/1000| Loss 103256.1641 | Train Accuracy 0.4903 | Val Accuracy 0.4862 | Test Accuracy 0.3633 | Best val. Accuracy 0.4862 | Best test Accuracy 0.3633
Epoch 0012/1000| Loss 98580.3828 | Train Accuracy 0.5178 | Val Accuracy 0.5193 | Test Accuracy 0.4047 | Best val. Accuracy 0.5193 | Best test Accuracy 0.4047
Epoch 0013/1000| Loss 86194.4844 | Train Accuracy 0.4989 | Val Accuracy 0.5035 | Test Accuracy 0.3898 | Best val. Accuracy 0.5193 | Best test Accuracy 0.4047
Epoch 0014/1000| Loss 95222.4453 | Train Accuracy 0.4934 | Val Accuracy 0.4961 | Test Accuracy 0.3953 | Best val. Accuracy 0.5193 | Best test Accuracy 0.4047
Epoch 0015/1000| Loss 76323.7734 | Train Accuracy 0.5433 | Val Accuracy 0.5419 | Test Accuracy 0.4318 | Best val. Accuracy 0.5419 | Best test Accuracy 0.4318
Epoch 0016/1000| Loss 65408.8516 | Train Accuracy 0.5692 | Val Accuracy 0.5687 | Test Accuracy 0.4500 | Best val. Accuracy 0.5687 | Best test Accuracy 0.4500
Epoch 0017/1000| Loss 76081.5703 | Train Accuracy 0.5594 | Val Accuracy 0.5600 | Test Accuracy 0.4462 | Best val. Accuracy 0.5687 | Best test Accuracy 0.4500
Epoch 0018/1000| Loss 75655.1328 | Train Accuracy 0.5875 | Val Accuracy 0.5922 | Test Accuracy 0.4569 | Best val. Accuracy 0.5922 | Best test Accuracy 0.4569
Epoch 0019/1000| Loss 49341.0938 | Train Accuracy 0.5685 | Val Accuracy 0.5727 | Test Accuracy 0.4605 | Best val. Accuracy 0.5922 | Best test Accuracy 0.4569
Epoch 0020: Avg Forward 316.418ms, Avg Backward 151.175ms, Total per epoch 467.594ms
Epoch 0020/1000| Loss 54513.6250 | Train Accuracy 0.5574 | Val Accuracy 0.5569 | Test Accuracy 0.4373 | Best val. Accuracy 0.5922 | Best test Accuracy 0.4569
Epoch 0021/1000| Loss 57296.1719 | Train Accuracy 0.5946 | Val Accuracy 0.5913 | Test Accuracy 0.4638 | Best val. Accuracy 0.5922 | Best test Accuracy 0.4569
Epoch 0022/1000| Loss 52331.9922 | Train Accuracy 0.6465 | Val Accuracy 0.6393 | Test Accuracy 0.5127 | Best val. Accuracy 0.6393 | Best test Accuracy 0.5127
Epoch 0023/1000| Loss 36685.5391 | Train Accuracy 0.6856 | Val Accuracy 0.6794 | Test Accuracy 0.5436 | Best val. Accuracy 0.6794 | Best test Accuracy 0.5436
Epoch 0024/1000| Loss 33765.0430 | Train Accuracy 0.6926 | Val Accuracy 0.6883 | Test Accuracy 0.5556 | Best val. Accuracy 0.6883 | Best test Accuracy 0.5556
Epoch 0025/1000| Loss 34077.4102 | Train Accuracy 0.7073 | Val Accuracy 0.7003 | Test Accuracy 0.5532 | Best val. Accuracy 0.7003 | Best test Accuracy 0.5532
Epoch 0026/1000| Loss 33535.1406 | Train Accuracy 0.7303 | Val Accuracy 0.7278 | Test Accuracy 0.5721 | Best val. Accuracy 0.7278 | Best test Accuracy 0.5721
Epoch 0027/1000| Loss 31023.2363 | Train Accuracy 0.7480 | Val Accuracy 0.7444 | Test Accuracy 0.5811 | Best val. Accuracy 0.7444 | Best test Accuracy 0.5811
Epoch 0028/1000| Loss 31037.3320 | Train Accuracy 0.7386 | Val Accuracy 0.7328 | Test Accuracy 0.5741 | Best val. Accuracy 0.7444 | Best test Accuracy 0.5811
Epoch 0029/1000| Loss 30400.0781 | Train Accuracy 0.7304 | Val Accuracy 0.7264 | Test Accuracy 0.5812 | Best val. Accuracy 0.7444 | Best test Accuracy 0.5811
Epoch 0030/1000| Loss 27934.7480 | Train Accuracy 0.7122 | Val Accuracy 0.7055 | Test Accuracy 0.5776 | Best val. Accuracy 0.7444 | Best test Accuracy 0.5811
Epoch 0031/1000| Loss 28390.7031 | Train Accuracy 0.7145 | Val Accuracy 0.7087 | Test Accuracy 0.5818 | Best val. Accuracy 0.7444 | Best test Accuracy 0.5811
Epoch 0032/1000| Loss 26956.2793 | Train Accuracy 0.7526 | Val Accuracy 0.7481 | Test Accuracy 0.6055 | Best val. Accuracy 0.7481 | Best test Accuracy 0.6055
Epoch 0033/1000| Loss 25289.9570 | Train Accuracy 0.7597 | Val Accuracy 0.7531 | Test Accuracy 0.6022 | Best val. Accuracy 0.7531 | Best test Accuracy 0.6022
Epoch 0034/1000| Loss 24774.2617 | Train Accuracy 0.7599 | Val Accuracy 0.7517 | Test Accuracy 0.5926 | Best val. Accuracy 0.7531 | Best test Accuracy 0.6022
Epoch 0035/1000| Loss 23854.4805 | Train Accuracy 0.7484 | Val Accuracy 0.7406 | Test Accuracy 0.5775 | Best val. Accuracy 0.7531 | Best test Accuracy 0.6022
Epoch 0036/1000| Loss 26759.5820 | Train Accuracy 0.7048 | Val Accuracy 0.7009 | Test Accuracy 0.5537 | Best val. Accuracy 0.7531 | Best test Accuracy 0.6022
Epoch 0037/1000| Loss 23296.4160 | Train Accuracy 0.7586 | Val Accuracy 0.7534 | Test Accuracy 0.5984 | Best val. Accuracy 0.7534 | Best test Accuracy 0.5984
Epoch 0038/1000| Loss 23555.1641 | Train Accuracy 0.7724 | Val Accuracy 0.7643 | Test Accuracy 0.6152 | Best val. Accuracy 0.7643 | Best test Accuracy 0.6152
Epoch 0039/1000| Loss 21674.9141 | Train Accuracy 0.7787 | Val Accuracy 0.7717 | Test Accuracy 0.6258 | Best val. Accuracy 0.7717 | Best test Accuracy 0.6258
Epoch 0040: Avg Forward 316.828ms, Avg Backward 151.161ms, Total per epoch 467.989ms
Epoch 0040/1000| Loss 20929.2891 | Train Accuracy 0.7600 | Val Accuracy 0.7544 | Test Accuracy 0.6208 | Best val. Accuracy 0.7717 | Best test Accuracy 0.6258
Epoch 0041/1000| Loss 23373.9707 | Train Accuracy 0.7495 | Val Accuracy 0.7464 | Test Accuracy 0.6074 | Best val. Accuracy 0.7717 | Best test Accuracy 0.6258
