
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 1989838720.0000 | Train Accuracy 0.4304 | Val Accuracy 0.4218 | Test Accuracy 0.4432 | Best val. Accuracy 0.4218 | Best test Accuracy 0.4432
Epoch 0001/1000| Loss 3008626432.0000 | Train Accuracy 0.4079 | Val Accuracy 0.3924 | Test Accuracy 0.4276 | Best val. Accuracy 0.4218 | Best test Accuracy 0.4432
Epoch 0002/1000| Loss 1335378688.0000 | Train Accuracy 0.4082 | Val Accuracy 0.4039 | Test Accuracy 0.4471 | Best val. Accuracy 0.4218 | Best test Accuracy 0.4432
Epoch 0003/1000| Loss 429528224.0000 | Train Accuracy 0.3845 | Val Accuracy 0.3660 | Test Accuracy 0.4095 | Best val. Accuracy 0.4218 | Best test Accuracy 0.4432
Epoch 0004/1000| Loss 275274592.0000 | Train Accuracy 0.4197 | Val Accuracy 0.4096 | Test Accuracy 0.4436 | Best val. Accuracy 0.4218 | Best test Accuracy 0.4432
Epoch 0005/1000| Loss 243419248.0000 | Train Accuracy 0.4380 | Val Accuracy 0.4246 | Test Accuracy 0.4519 | Best val. Accuracy 0.4246 | Best test Accuracy 0.4519
Epoch 0006/1000| Loss 159802528.0000 | Train Accuracy 0.4602 | Val Accuracy 0.4510 | Test Accuracy 0.4783 | Best val. Accuracy 0.4510 | Best test Accuracy 0.4783
Epoch 0007/1000| Loss 79691608.0000 | Train Accuracy 0.4839 | Val Accuracy 0.4689 | Test Accuracy 0.4734 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0008/1000| Loss 92472872.0000 | Train Accuracy 0.4157 | Val Accuracy 0.4103 | Test Accuracy 0.4379 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0009/1000| Loss 90814040.0000 | Train Accuracy 0.4501 | Val Accuracy 0.4411 | Test Accuracy 0.4734 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0010/1000| Loss 64928876.0000 | Train Accuracy 0.4116 | Val Accuracy 0.4003 | Test Accuracy 0.4446 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0011/1000| Loss 76741072.0000 | Train Accuracy 0.4660 | Val Accuracy 0.4579 | Test Accuracy 0.4700 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0012/1000| Loss 132027632.0000 | Train Accuracy 0.4221 | Val Accuracy 0.4104 | Test Accuracy 0.4505 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0013/1000| Loss 108205592.0000 | Train Accuracy 0.4245 | Val Accuracy 0.4187 | Test Accuracy 0.4455 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0014/1000| Loss 109855960.0000 | Train Accuracy 0.4319 | Val Accuracy 0.4329 | Test Accuracy 0.4550 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0015/1000| Loss 71785624.0000 | Train Accuracy 0.4663 | Val Accuracy 0.4680 | Test Accuracy 0.4841 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0016/1000| Loss 63065532.0000 | Train Accuracy 0.4229 | Val Accuracy 0.4215 | Test Accuracy 0.4578 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0017/1000| Loss 51606128.0000 | Train Accuracy 0.4701 | Val Accuracy 0.4684 | Test Accuracy 0.4871 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0018/1000| Loss 58955152.0000 | Train Accuracy 0.4326 | Val Accuracy 0.4268 | Test Accuracy 0.4468 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0019/1000| Loss 61066876.0000 | Train Accuracy 0.4437 | Val Accuracy 0.4447 | Test Accuracy 0.4576 | Best val. Accuracy 0.4689 | Best test Accuracy 0.4734
Epoch 0020: Avg Forward 38.043ms, Avg Backward 32.468ms, Total per epoch 70.511ms
Epoch 0020/1000| Loss 43878996.0000 | Train Accuracy 0.4818 | Val Accuracy 0.4728 | Test Accuracy 0.4819 | Best val. Accuracy 0.4728 | Best test Accuracy 0.4819
Epoch 0021/1000| Loss 54722928.0000 | Train Accuracy 0.5044 | Val Accuracy 0.4990 | Test Accuracy 0.4967 | Best val. Accuracy 0.4990 | Best test Accuracy 0.4967
Epoch 0022/1000| Loss 41408736.0000 | Train Accuracy 0.4496 | Val Accuracy 0.4374 | Test Accuracy 0.4666 | Best val. Accuracy 0.4990 | Best test Accuracy 0.4967
Epoch 0023/1000| Loss 40661012.0000 | Train Accuracy 0.4405 | Val Accuracy 0.4293 | Test Accuracy 0.4617 | Best val. Accuracy 0.4990 | Best test Accuracy 0.4967
Epoch 0024/1000| Loss 34496900.0000 | Train Accuracy 0.4609 | Val Accuracy 0.4581 | Test Accuracy 0.4839 | Best val. Accuracy 0.4990 | Best test Accuracy 0.4967
Epoch 0025/1000| Loss 37247416.0000 | Train Accuracy 0.5052 | Val Accuracy 0.5295 | Test Accuracy 0.5349 | Best val. Accuracy 0.5295 | Best test Accuracy 0.5349
Epoch 0026/1000| Loss 42194996.0000 | Train Accuracy 0.4533 | Val Accuracy 0.4476 | Test Accuracy 0.4750 | Best val. Accuracy 0.5295 | Best test Accuracy 0.5349
Epoch 0027/1000| Loss 42089996.0000 | Train Accuracy 0.4285 | Val Accuracy 0.4262 | Test Accuracy 0.4430 | Best val. Accuracy 0.5295 | Best test Accuracy 0.5349
Epoch 0028/1000| Loss 40421364.0000 | Train Accuracy 0.4596 | Val Accuracy 0.4579 | Test Accuracy 0.4789 | Best val. Accuracy 0.5295 | Best test Accuracy 0.5349
Epoch 0029/1000| Loss 40450792.0000 | Train Accuracy 0.4596 | Val Accuracy 0.4482 | Test Accuracy 0.4631 | Best val. Accuracy 0.5295 | Best test Accuracy 0.5349
Epoch 0030/1000| Loss 37239968.0000 | Train Accuracy 0.4800 | Val Accuracy 0.4693 | Test Accuracy 0.4634 | Best val. Accuracy 0.5295 | Best test Accuracy 0.5349
Epoch 0031/1000| Loss 31085434.0000 | Train Accuracy 0.4937 | Val Accuracy 0.4917 | Test Accuracy 0.4903 | Best val. Accuracy 0.5295 | Best test Accuracy 0.5349
Epoch 0032/1000| Loss 31232444.0000 | Train Accuracy 0.4541 | Val Accuracy 0.4347 | Test Accuracy 0.4512 | Best val. Accuracy 0.5295 | Best test Accuracy 0.5349
Epoch 0033/1000| Loss 23716660.0000 | Train Accuracy 0.4589 | Val Accuracy 0.4440 | Test Accuracy 0.4630 | Best val. Accuracy 0.5295 | Best test Accuracy 0.5349
