
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 431,919 total, 431,919 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0028/1000| Loss 5.1825 | Train Accuracy 0.3706 | Val Accuracy 0.3568 | Test Accuracy 0.2689 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0029/1000| Loss 5.8212 | Train Accuracy 0.3838 | Val Accuracy 0.3757 | Test Accuracy 0.2838 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0030/1000| Loss 6.7520 | Train Accuracy 0.3975 | Val Accuracy 0.3923 | Test Accuracy 0.3152 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0031/1000| Loss 8.1919 | Train Accuracy 0.3950 | Val Accuracy 0.3888 | Test Accuracy 0.3027 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0032/1000| Loss 8.4405 | Train Accuracy 0.3125 | Val Accuracy 0.3003 | Test Accuracy 0.2212 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0033/1000| Loss 7.6842 | Train Accuracy 0.3886 | Val Accuracy 0.3770 | Test Accuracy 0.2782 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0034/1000| Loss 6.0793 | Train Accuracy 0.4077 | Val Accuracy 0.3955 | Test Accuracy 0.2946 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0035/1000| Loss 5.6016 | Train Accuracy 0.3971 | Val Accuracy 0.3915 | Test Accuracy 0.2976 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0036/1000| Loss 6.7727 | Train Accuracy 0.4172 | Val Accuracy 0.4043 | Test Accuracy 0.3043 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0037/1000| Loss 5.6058 | Train Accuracy 0.4056 | Val Accuracy 0.3935 | Test Accuracy 0.2933 | Best val. Accuracy 0.4168 | Best test Accuracy 0.3304
Epoch 0038/1000| Loss 5.9823 | Train Accuracy 0.4308 | Val Accuracy 0.4227 | Test Accuracy 0.3217 | Best val. Accuracy 0.4227 | Best test Accuracy 0.3217
Epoch 0039/1000| Loss 5.2845 | Train Accuracy 0.4169 | Val Accuracy 0.4053 | Test Accuracy 0.3031 | Best val. Accuracy 0.4227 | Best test Accuracy 0.3217
Epoch 0040: Avg Forward 317.568ms, Avg Backward 129.696ms, Total per epoch 447.264ms
Epoch 0040/1000| Loss 5.2589 | Train Accuracy 0.4477 | Val Accuracy 0.4409 | Test Accuracy 0.3396 | Best val. Accuracy 0.4409 | Best test Accuracy 0.3396
Epoch 0041/1000| Loss 5.2972 | Train Accuracy 0.4554 | Val Accuracy 0.4546 | Test Accuracy 0.3524 | Best val. Accuracy 0.4546 | Best test Accuracy 0.3524
Epoch 0042/1000| Loss 5.0860 | Train Accuracy 0.4133 | Val Accuracy 0.4054 | Test Accuracy 0.2922 | Best val. Accuracy 0.4546 | Best test Accuracy 0.3524
