
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 13.7851 | Train Accuracy 0.4113 | Val Accuracy 0.3987 | Test Accuracy 0.4402 | Best val. Accuracy 0.3987 | Best test Accuracy 0.4402
Epoch 0001/1000| Loss 2.6389 | Train Accuracy 0.5137 | Val Accuracy 0.5071 | Test Accuracy 0.5009 | Best val. Accuracy 0.5071 | Best test Accuracy 0.5009
Epoch 0002/1000| Loss 2.5312 | Train Accuracy 0.4356 | Val Accuracy 0.3858 | Test Accuracy 0.4197 | Best val. Accuracy 0.5071 | Best test Accuracy 0.5009
Epoch 0003/1000| Loss 1.5645 | Train Accuracy 0.4355 | Val Accuracy 0.4710 | Test Accuracy 0.4780 | Best val. Accuracy 0.5071 | Best test Accuracy 0.5009
Epoch 0004/1000| Loss 1.2439 | Train Accuracy 0.4416 | Val Accuracy 0.4128 | Test Accuracy 0.4398 | Best val. Accuracy 0.5071 | Best test Accuracy 0.5009
Epoch 0005/1000| Loss 1.9172 | Train Accuracy 0.4544 | Val Accuracy 0.4107 | Test Accuracy 0.4484 | Best val. Accuracy 0.5071 | Best test Accuracy 0.5009
Epoch 0006/1000| Loss 1.8788 | Train Accuracy 0.4514 | Val Accuracy 0.4135 | Test Accuracy 0.4390 | Best val. Accuracy 0.5071 | Best test Accuracy 0.5009
Epoch 0007/1000| Loss 1.5452 | Train Accuracy 0.5888 | Val Accuracy 0.5635 | Test Accuracy 0.5309 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0008/1000| Loss 1.5715 | Train Accuracy 0.4558 | Val Accuracy 0.4022 | Test Accuracy 0.4376 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0009/1000| Loss 1.2144 | Train Accuracy 0.4803 | Val Accuracy 0.4020 | Test Accuracy 0.4394 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0010/1000| Loss 0.8045 | Train Accuracy 0.5107 | Val Accuracy 0.4707 | Test Accuracy 0.4624 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0011/1000| Loss 0.5841 | Train Accuracy 0.5450 | Val Accuracy 0.4938 | Test Accuracy 0.4834 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0012/1000| Loss 0.6094 | Train Accuracy 0.5457 | Val Accuracy 0.4797 | Test Accuracy 0.4750 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0013/1000| Loss 0.5767 | Train Accuracy 0.5131 | Val Accuracy 0.4546 | Test Accuracy 0.4605 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0014/1000| Loss 0.5262 | Train Accuracy 0.5239 | Val Accuracy 0.4656 | Test Accuracy 0.4661 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0015/1000| Loss 0.4822 | Train Accuracy 0.5288 | Val Accuracy 0.4703 | Test Accuracy 0.4674 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0016/1000| Loss 0.4629 | Train Accuracy 0.5576 | Val Accuracy 0.4964 | Test Accuracy 0.4860 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0017/1000| Loss 0.4500 | Train Accuracy 0.5860 | Val Accuracy 0.5132 | Test Accuracy 0.4993 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0018/1000| Loss 0.4385 | Train Accuracy 0.6053 | Val Accuracy 0.5325 | Test Accuracy 0.5102 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0019/1000| Loss 0.4295 | Train Accuracy 0.5647 | Val Accuracy 0.5133 | Test Accuracy 0.5049 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0020: Avg Forward 38.832ms, Avg Backward 26.359ms, Total per epoch 65.191ms
Epoch 0020/1000| Loss 0.4139 | Train Accuracy 0.5660 | Val Accuracy 0.5347 | Test Accuracy 0.5292 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
Epoch 0021/1000| Loss 0.4026 | Train Accuracy 0.5417 | Val Accuracy 0.5291 | Test Accuracy 0.5258 | Best val. Accuracy 0.5635 | Best test Accuracy 0.5309
