
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GCN model...
Using standard DGL GCN model
Model parameters: 328,199 total, 328,199 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0028/1000| Loss 1.5715 | Train Accuracy 0.4628 | Val Accuracy 0.4687 | Test Accuracy 0.4643 | Best val. Accuracy 0.4758 | Best test Accuracy 0.4774
Epoch 0029/1000| Loss 1.5314 | Train Accuracy 0.4330 | Val Accuracy 0.4356 | Test Accuracy 0.4350 | Best val. Accuracy 0.4758 | Best test Accuracy 0.4774
Epoch 0030/1000| Loss 1.5472 | Train Accuracy 0.4327 | Val Accuracy 0.4356 | Test Accuracy 0.4346 | Best val. Accuracy 0.4758 | Best test Accuracy 0.4774
Epoch 0031/1000| Loss 1.5442 | Train Accuracy 0.4490 | Val Accuracy 0.4527 | Test Accuracy 0.4520 | Best val. Accuracy 0.4758 | Best test Accuracy 0.4774
Epoch 0032/1000| Loss 1.5284 | Train Accuracy 0.4740 | Val Accuracy 0.4765 | Test Accuracy 0.4766 | Best val. Accuracy 0.4765 | Best test Accuracy 0.4766
Epoch 0033/1000| Loss 1.5296 | Train Accuracy 0.4763 | Val Accuracy 0.4764 | Test Accuracy 0.4768 | Best val. Accuracy 0.4765 | Best test Accuracy 0.4766
Epoch 0034/1000| Loss 1.5347 | Train Accuracy 0.4742 | Val Accuracy 0.4765 | Test Accuracy 0.4756 | Best val. Accuracy 0.4765 | Best test Accuracy 0.4756
Epoch 0035/1000| Loss 1.5266 | Train Accuracy 0.4569 | Val Accuracy 0.4644 | Test Accuracy 0.4582 | Best val. Accuracy 0.4765 | Best test Accuracy 0.4756
Epoch 0036/1000| Loss 1.5306 | Train Accuracy 0.4572 | Val Accuracy 0.4648 | Test Accuracy 0.4593 | Best val. Accuracy 0.4765 | Best test Accuracy 0.4756
Epoch 0037/1000| Loss 1.5284 | Train Accuracy 0.4751 | Val Accuracy 0.4778 | Test Accuracy 0.4759 | Best val. Accuracy 0.4778 | Best test Accuracy 0.4759
Epoch 0038/1000| Loss 1.5179 | Train Accuracy 0.4796 | Val Accuracy 0.4814 | Test Accuracy 0.4829 | Best val. Accuracy 0.4814 | Best test Accuracy 0.4829
Epoch 0039/1000| Loss 1.5193 | Train Accuracy 0.4779 | Val Accuracy 0.4796 | Test Accuracy 0.4779 | Best val. Accuracy 0.4814 | Best test Accuracy 0.4829
Epoch 0040: Avg Forward 8.176ms, Avg Backward 3.713ms, Total per epoch 11.888ms
Epoch 0040/1000| Loss 1.5115 | Train Accuracy 0.4615 | Val Accuracy 0.4676 | Test Accuracy 0.4650 | Best val. Accuracy 0.4814 | Best test Accuracy 0.4829
Epoch 0041/1000| Loss 1.5206 | Train Accuracy 0.4705 | Val Accuracy 0.4771 | Test Accuracy 0.4731 | Best val. Accuracy 0.4814 | Best test Accuracy 0.4829
Epoch 0042/1000| Loss 1.5122 | Train Accuracy 0.4817 | Val Accuracy 0.4839 | Test Accuracy 0.4828 | Best val. Accuracy 0.4839 | Best test Accuracy 0.4828
Epoch 0043/1000| Loss 1.5133 | Train Accuracy 0.4793 | Val Accuracy 0.4836 | Test Accuracy 0.4806 | Best val. Accuracy 0.4839 | Best test Accuracy 0.4828
Epoch 0044/1000| Loss 1.5078 | Train Accuracy 0.4723 | Val Accuracy 0.4796 | Test Accuracy 0.4761 | Best val. Accuracy 0.4839 | Best test Accuracy 0.4828
Epoch 0045/1000| Loss 1.5092 | Train Accuracy 0.4843 | Val Accuracy 0.4880 | Test Accuracy 0.4850 | Best val. Accuracy 0.4880 | Best test Accuracy 0.4850
Epoch 0046/1000| Loss 1.5076 | Train Accuracy 0.4870 | Val Accuracy 0.4901 | Test Accuracy 0.4870 | Best val. Accuracy 0.4901 | Best test Accuracy 0.4870
Epoch 0047/1000| Loss 1.5080 | Train Accuracy 0.4827 | Val Accuracy 0.4880 | Test Accuracy 0.4855 | Best val. Accuracy 0.4901 | Best test Accuracy 0.4870
Epoch 0048/1000| Loss 1.5014 | Train Accuracy 0.4860 | Val Accuracy 0.4900 | Test Accuracy 0.4881 | Best val. Accuracy 0.4901 | Best test Accuracy 0.4870
Epoch 0049/1000| Loss 1.4991 | Train Accuracy 0.4909 | Val Accuracy 0.4942 | Test Accuracy 0.4937 | Best val. Accuracy 0.4942 | Best test Accuracy 0.4937
Epoch 0050/1000| Loss 1.4968 | Train Accuracy 0.4925 | Val Accuracy 0.4958 | Test Accuracy 0.4937 | Best val. Accuracy 0.4958 | Best test Accuracy 0.4937
Epoch 0051/1000| Loss 1.4930 | Train Accuracy 0.4874 | Val Accuracy 0.4931 | Test Accuracy 0.4922 | Best val. Accuracy 0.4958 | Best test Accuracy 0.4937
Epoch 0052/1000| Loss 1.4924 | Train Accuracy 0.4951 | Val Accuracy 0.4989 | Test Accuracy 0.4953 | Best val. Accuracy 0.4989 | Best test Accuracy 0.4953
Epoch 0053/1000| Loss 1.4946 | Train Accuracy 0.4947 | Val Accuracy 0.4986 | Test Accuracy 0.4964 | Best val. Accuracy 0.4989 | Best test Accuracy 0.4953
Epoch 0054/1000| Loss 1.4880 | Train Accuracy 0.4927 | Val Accuracy 0.4974 | Test Accuracy 0.4953 | Best val. Accuracy 0.4989 | Best test Accuracy 0.4953
Epoch 0055/1000| Loss 1.4904 | Train Accuracy 0.4934 | Val Accuracy 0.4973 | Test Accuracy 0.4938 | Best val. Accuracy 0.4989 | Best test Accuracy 0.4953
Epoch 0056/1000| Loss 1.4917 | Train Accuracy 0.4743 | Val Accuracy 0.4775 | Test Accuracy 0.4778 | Best val. Accuracy 0.4989 | Best test Accuracy 0.4953
