
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 327,434 total, 327,434 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 2.0035 | Train Accuracy 0.3401 | Val Accuracy 0.3426 | Test Accuracy 0.3417 | Best val. Accuracy 0.3426 | Best test Accuracy 0.3417
Epoch 0001/1000| Loss 1.7922 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0002/1000| Loss 2.2329 | Train Accuracy 0.3950 | Val Accuracy 0.3937 | Test Accuracy 0.3954 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0003/1000| Loss 1.7001 | Train Accuracy 0.3715 | Val Accuracy 0.3731 | Test Accuracy 0.3665 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 1.6627 | Train Accuracy 0.4102 | Val Accuracy 0.4124 | Test Accuracy 0.4141 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 1.6735 | Train Accuracy 0.4196 | Val Accuracy 0.4222 | Test Accuracy 0.4223 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 1.6772 | Train Accuracy 0.4206 | Val Accuracy 0.4243 | Test Accuracy 0.4231 | Best val. Accuracy 0.4243 | Best test Accuracy 0.4231
Epoch 0007/1000| Loss 1.6323 | Train Accuracy 0.4149 | Val Accuracy 0.4157 | Test Accuracy 0.4137 | Best val. Accuracy 0.4243 | Best test Accuracy 0.4231
Epoch 0008/1000| Loss 1.6347 | Train Accuracy 0.4211 | Val Accuracy 0.4235 | Test Accuracy 0.4229 | Best val. Accuracy 0.4243 | Best test Accuracy 0.4231
Epoch 0009/1000| Loss 1.6311 | Train Accuracy 0.4194 | Val Accuracy 0.4227 | Test Accuracy 0.4207 | Best val. Accuracy 0.4243 | Best test Accuracy 0.4231
Epoch 0010/1000| Loss 1.6257 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4233 | Best val. Accuracy 0.4243 | Best test Accuracy 0.4231
Epoch 0011/1000| Loss 1.6183 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4243 | Best test Accuracy 0.4231
Epoch 0012/1000| Loss 1.6160 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4243 | Best test Accuracy 0.4231
Epoch 0013/1000| Loss 1.6103 | Train Accuracy 0.4218 | Val Accuracy 0.4239 | Test Accuracy 0.4233 | Best val. Accuracy 0.4243 | Best test Accuracy 0.4231
Epoch 0014/1000| Loss 1.6297 | Train Accuracy 0.4215 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4243 | Best test Accuracy 0.4231
Epoch 0015/1000| Loss 1.6142 | Train Accuracy 0.4310 | Val Accuracy 0.4368 | Test Accuracy 0.4316 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0016/1000| Loss 1.6210 | Train Accuracy 0.4258 | Val Accuracy 0.4306 | Test Accuracy 0.4305 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0017/1000| Loss 1.6180 | Train Accuracy 0.3821 | Val Accuracy 0.3807 | Test Accuracy 0.3813 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0018/1000| Loss 1.6261 | Train Accuracy 0.4235 | Val Accuracy 0.4252 | Test Accuracy 0.4252 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0019/1000| Loss 1.6098 | Train Accuracy 0.4221 | Val Accuracy 0.4244 | Test Accuracy 0.4239 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0020: Avg Forward 7.107ms, Avg Backward 3.165ms, Total per epoch 10.272ms
Epoch 0020/1000| Loss 1.6158 | Train Accuracy 0.4217 | Val Accuracy 0.4237 | Test Accuracy 0.4234 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0021/1000| Loss 1.6006 | Train Accuracy 0.4218 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0022/1000| Loss 1.5985 | Train Accuracy 0.4217 | Val Accuracy 0.4240 | Test Accuracy 0.4238 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0023/1000| Loss 1.5997 | Train Accuracy 0.4245 | Val Accuracy 0.4269 | Test Accuracy 0.4275 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0024/1000| Loss 1.5932 | Train Accuracy 0.4299 | Val Accuracy 0.4318 | Test Accuracy 0.4336 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0025/1000| Loss 1.6019 | Train Accuracy 0.4327 | Val Accuracy 0.4361 | Test Accuracy 0.4353 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0026/1000| Loss 1.6031 | Train Accuracy 0.4218 | Val Accuracy 0.4238 | Test Accuracy 0.4237 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0027/1000| Loss 1.5961 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0028/1000| Loss 1.5958 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0029/1000| Loss 1.5961 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0030/1000| Loss 1.5944 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0031/1000| Loss 1.5942 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0032/1000| Loss 1.5928 | Train Accuracy 0.4217 | Val Accuracy 0.4240 | Test Accuracy 0.4234 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0033/1000| Loss 1.5934 | Train Accuracy 0.4242 | Val Accuracy 0.4267 | Test Accuracy 0.4262 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0034/1000| Loss 1.5902 | Train Accuracy 0.3999 | Val Accuracy 0.3993 | Test Accuracy 0.3920 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0035/1000| Loss 1.6029 | Train Accuracy 0.4322 | Val Accuracy 0.4339 | Test Accuracy 0.4362 | Best val. Accuracy 0.4368 | Best test Accuracy 0.4316
Epoch 0036/1000| Loss 1.5888 | Train Accuracy 0.4396 | Val Accuracy 0.4408 | Test Accuracy 0.4415 | Best val. Accuracy 0.4408 | Best test Accuracy 0.4415
Epoch 0037/1000| Loss 1.5861 | Train Accuracy 0.4397 | Val Accuracy 0.4412 | Test Accuracy 0.4429 | Best val. Accuracy 0.4412 | Best test Accuracy 0.4429
Epoch 0038/1000| Loss 1.5869 | Train Accuracy 0.4234 | Val Accuracy 0.4266 | Test Accuracy 0.4252 | Best val. Accuracy 0.4412 | Best test Accuracy 0.4429
