
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 431,919 total, 431,919 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 4.1988 | Train Accuracy 0.3084 | Val Accuracy 0.3084 | Test Accuracy 0.2694 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2694
Epoch 0001/1000| Loss 3.8460 | Train Accuracy 0.2543 | Val Accuracy 0.2423 | Test Accuracy 0.1956 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2694
Epoch 0002/1000| Loss 3.3252 | Train Accuracy 0.2583 | Val Accuracy 0.2357 | Test Accuracy 0.1881 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2694
Epoch 0003/1000| Loss 3.2400 | Train Accuracy 0.3074 | Val Accuracy 0.3059 | Test Accuracy 0.2649 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2694
Epoch 0004/1000| Loss 3.0437 | Train Accuracy 0.3083 | Val Accuracy 0.3083 | Test Accuracy 0.2691 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2694
Epoch 0005/1000| Loss 3.0644 | Train Accuracy 0.2588 | Val Accuracy 0.2434 | Test Accuracy 0.1914 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2694
Epoch 0006/1000| Loss 3.1614 | Train Accuracy 0.2785 | Val Accuracy 0.2658 | Test Accuracy 0.2118 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2694
Epoch 0007/1000| Loss 2.9570 | Train Accuracy 0.3080 | Val Accuracy 0.3062 | Test Accuracy 0.2660 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2694
Epoch 0008/1000| Loss 2.7156 | Train Accuracy 0.3081 | Val Accuracy 0.3073 | Test Accuracy 0.2669 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2694
Epoch 0009/1000| Loss 2.6966 | Train Accuracy 0.2914 | Val Accuracy 0.2755 | Test Accuracy 0.2232 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2694
Epoch 0010/1000| Loss 2.7914 | Train Accuracy 0.2967 | Val Accuracy 0.2830 | Test Accuracy 0.2309 | Best val. Accuracy 0.3084 | Best test Accuracy 0.2694
