
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 327,434 total, 327,434 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 2.7107 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4236 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4236
Epoch 0001/1000| Loss 2.1212 | Train Accuracy 0.3639 | Val Accuracy 0.3665 | Test Accuracy 0.3712 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4236
Epoch 0002/1000| Loss 1.6569 | Train Accuracy 0.4217 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4236
Epoch 0003/1000| Loss 1.7839 | Train Accuracy 0.4216 | Val Accuracy 0.4236 | Test Accuracy 0.4236 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4236
Epoch 0004/1000| Loss 1.6552 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4236
Epoch 0005/1000| Loss 2.3523 | Train Accuracy 0.4085 | Val Accuracy 0.4091 | Test Accuracy 0.4113 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4236
Epoch 0006/1000| Loss 1.6251 | Train Accuracy 0.2572 | Val Accuracy 0.2573 | Test Accuracy 0.2531 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4236
Epoch 0007/1000| Loss 1.6951 | Train Accuracy 0.4214 | Val Accuracy 0.4236 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4236
Epoch 0008/1000| Loss 1.7030 | Train Accuracy 0.4215 | Val Accuracy 0.4234 | Test Accuracy 0.4233 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4236
Epoch 0009/1000| Loss 1.6287 | Train Accuracy 0.3505 | Val Accuracy 0.3484 | Test Accuracy 0.3516 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4236
Epoch 0010/1000| Loss 1.6172 | Train Accuracy 0.4215 | Val Accuracy 0.4240 | Test Accuracy 0.4234 | Best val. Accuracy 0.4240 | Best test Accuracy 0.4234
