
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 425,072 total, 425,072 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 1.4783 | Train Accuracy 0.4425 | Val Accuracy 0.4488 | Test Accuracy 0.4706 | Best val. Accuracy 0.4488 | Best test Accuracy 0.4706
Epoch 0001/1000| Loss 0.7215 | Train Accuracy 0.4014 | Val Accuracy 0.3949 | Test Accuracy 0.4448 | Best val. Accuracy 0.4488 | Best test Accuracy 0.4706
Epoch 0002/1000| Loss 0.5080 | Train Accuracy 0.4160 | Val Accuracy 0.3919 | Test Accuracy 0.4460 | Best val. Accuracy 0.4488 | Best test Accuracy 0.4706
Epoch 0003/1000| Loss 0.4634 | Train Accuracy 0.4479 | Val Accuracy 0.4136 | Test Accuracy 0.4632 | Best val. Accuracy 0.4488 | Best test Accuracy 0.4706
Epoch 0004/1000| Loss 0.4430 | Train Accuracy 0.4889 | Val Accuracy 0.4326 | Test Accuracy 0.4765 | Best val. Accuracy 0.4488 | Best test Accuracy 0.4706
Epoch 0005/1000| Loss 0.4392 | Train Accuracy 0.5456 | Val Accuracy 0.4662 | Test Accuracy 0.4885 | Best val. Accuracy 0.4662 | Best test Accuracy 0.4885
Epoch 0006/1000| Loss 0.4341 | Train Accuracy 0.5922 | Val Accuracy 0.5159 | Test Accuracy 0.5328 | Best val. Accuracy 0.5159 | Best test Accuracy 0.5328
Epoch 0007/1000| Loss 0.3976 | Train Accuracy 0.6448 | Val Accuracy 0.5806 | Test Accuracy 0.5688 | Best val. Accuracy 0.5806 | Best test Accuracy 0.5688
Epoch 0008/1000| Loss 0.3759 | Train Accuracy 0.6219 | Val Accuracy 0.5390 | Test Accuracy 0.5204 | Best val. Accuracy 0.5806 | Best test Accuracy 0.5688
Epoch 0009/1000| Loss 0.3736 | Train Accuracy 0.6326 | Val Accuracy 0.5626 | Test Accuracy 0.5533 | Best val. Accuracy 0.5806 | Best test Accuracy 0.5688
Epoch 0010/1000| Loss 0.3673 | Train Accuracy 0.6134 | Val Accuracy 0.5298 | Test Accuracy 0.5329 | Best val. Accuracy 0.5806 | Best test Accuracy 0.5688
Epoch 0011/1000| Loss 0.3699 | Train Accuracy 0.6550 | Val Accuracy 0.5916 | Test Accuracy 0.5716 | Best val. Accuracy 0.5916 | Best test Accuracy 0.5716
Epoch 0012/1000| Loss 0.3538 | Train Accuracy 0.6632 | Val Accuracy 0.6030 | Test Accuracy 0.5953 | Best val. Accuracy 0.6030 | Best test Accuracy 0.5953
