
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: products
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 235,314 total, 235,314 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0028/1000| Loss 2.8084 | Train Accuracy 0.2662 | Val Accuracy 0.2553 | Test Accuracy 0.2030 | Best val. Accuracy 0.2931 | Best test Accuracy 0.2475
Epoch 0029/1000| Loss 2.8068 | Train Accuracy 0.2607 | Val Accuracy 0.2494 | Test Accuracy 0.1987 | Best val. Accuracy 0.2931 | Best test Accuracy 0.2475
Epoch 0030/1000| Loss 2.7911 | Train Accuracy 0.2306 | Val Accuracy 0.2197 | Test Accuracy 0.1764 | Best val. Accuracy 0.2931 | Best test Accuracy 0.2475
Epoch 0031/1000| Loss 2.8163 | Train Accuracy 0.2936 | Val Accuracy 0.2882 | Test Accuracy 0.2379 | Best val. Accuracy 0.2931 | Best test Accuracy 0.2475
Epoch 0032/1000| Loss 2.8250 | Train Accuracy 0.2471 | Val Accuracy 0.2347 | Test Accuracy 0.1874 | Best val. Accuracy 0.2931 | Best test Accuracy 0.2475
Epoch 0033/1000| Loss 2.8251 | Train Accuracy 0.2471 | Val Accuracy 0.2343 | Test Accuracy 0.1875 | Best val. Accuracy 0.2931 | Best test Accuracy 0.2475
Epoch 0034/1000| Loss 2.8401 | Train Accuracy 0.3083 | Val Accuracy 0.3069 | Test Accuracy 0.2659 | Best val. Accuracy 0.3069 | Best test Accuracy 0.2659
Epoch 0035/1000| Loss 2.8817 | Train Accuracy 0.2905 | Val Accuracy 0.2795 | Test Accuracy 0.2234 | Best val. Accuracy 0.3069 | Best test Accuracy 0.2659
Epoch 0036/1000| Loss 2.8179 | Train Accuracy 0.3079 | Val Accuracy 0.3055 | Test Accuracy 0.2631 | Best val. Accuracy 0.3069 | Best test Accuracy 0.2659
Epoch 0037/1000| Loss 2.7798 | Train Accuracy 0.3055 | Val Accuracy 0.3002 | Test Accuracy 0.2528 | Best val. Accuracy 0.3069 | Best test Accuracy 0.2659
