
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 425,072 total, 425,072 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 3.4538 | Train Accuracy 0.4383 | Val Accuracy 0.4509 | Test Accuracy 0.4811 | Best val. Accuracy 0.4509 | Best test Accuracy 0.4811
Epoch 0001/1000| Loss 1.1518 | Train Accuracy 0.4230 | Val Accuracy 0.4205 | Test Accuracy 0.4686 | Best val. Accuracy 0.4509 | Best test Accuracy 0.4811
Epoch 0002/1000| Loss 0.6804 | Train Accuracy 0.4557 | Val Accuracy 0.4536 | Test Accuracy 0.4846 | Best val. Accuracy 0.4536 | Best test Accuracy 0.4846
Epoch 0003/1000| Loss 0.5200 | Train Accuracy 0.4644 | Val Accuracy 0.4583 | Test Accuracy 0.4980 | Best val. Accuracy 0.4583 | Best test Accuracy 0.4980
Epoch 0004/1000| Loss 0.5015 | Train Accuracy 0.4539 | Val Accuracy 0.4321 | Test Accuracy 0.4741 | Best val. Accuracy 0.4583 | Best test Accuracy 0.4980
Epoch 0005/1000| Loss 0.4746 | Train Accuracy 0.4473 | Val Accuracy 0.4265 | Test Accuracy 0.4611 | Best val. Accuracy 0.4583 | Best test Accuracy 0.4980
Epoch 0006/1000| Loss 0.4261 | Train Accuracy 0.5055 | Val Accuracy 0.4173 | Test Accuracy 0.4312 | Best val. Accuracy 0.4583 | Best test Accuracy 0.4980
Epoch 0007/1000| Loss 0.4473 | Train Accuracy 0.5066 | Val Accuracy 0.4306 | Test Accuracy 0.4378 | Best val. Accuracy 0.4583 | Best test Accuracy 0.4980
Epoch 0008/1000| Loss 0.3931 | Train Accuracy 0.5106 | Val Accuracy 0.4533 | Test Accuracy 0.4553 | Best val. Accuracy 0.4583 | Best test Accuracy 0.4980
Epoch 0009/1000| Loss 0.3771 | Train Accuracy 0.5128 | Val Accuracy 0.4707 | Test Accuracy 0.4743 | Best val. Accuracy 0.4707 | Best test Accuracy 0.4743
Epoch 0010/1000| Loss 0.3720 | Train Accuracy 0.5295 | Val Accuracy 0.4831 | Test Accuracy 0.4963 | Best val. Accuracy 0.4831 | Best test Accuracy 0.4963
Epoch 0011/1000| Loss 0.3639 | Train Accuracy 0.6235 | Val Accuracy 0.5648 | Test Accuracy 0.5348 | Best val. Accuracy 0.5648 | Best test Accuracy 0.5348
Epoch 0012/1000| Loss 0.3519 | Train Accuracy 0.6464 | Val Accuracy 0.6114 | Test Accuracy 0.5781 | Best val. Accuracy 0.6114 | Best test Accuracy 0.5781
Epoch 0013/1000| Loss 0.3581 | Train Accuracy 0.6469 | Val Accuracy 0.6429 | Test Accuracy 0.5946 | Best val. Accuracy 0.6429 | Best test Accuracy 0.5946
Epoch 0014/1000| Loss 0.3477 | Train Accuracy 0.6166 | Val Accuracy 0.6109 | Test Accuracy 0.5653 | Best val. Accuracy 0.6429 | Best test Accuracy 0.5946
Epoch 0015/1000| Loss 0.3418 | Train Accuracy 0.6163 | Val Accuracy 0.6145 | Test Accuracy 0.5630 | Best val. Accuracy 0.6429 | Best test Accuracy 0.5946
Epoch 0016/1000| Loss 0.3371 | Train Accuracy 0.6156 | Val Accuracy 0.6215 | Test Accuracy 0.5684 | Best val. Accuracy 0.6429 | Best test Accuracy 0.5946
Epoch 0017/1000| Loss 0.3353 | Train Accuracy 0.6835 | Val Accuracy 0.6799 | Test Accuracy 0.5813 | Best val. Accuracy 0.6799 | Best test Accuracy 0.5813
Epoch 0018/1000| Loss 0.3341 | Train Accuracy 0.6823 | Val Accuracy 0.6799 | Test Accuracy 0.6055 | Best val. Accuracy 0.6799 | Best test Accuracy 0.6055
Epoch 0019/1000| Loss 0.3351 | Train Accuracy 0.6907 | Val Accuracy 0.6916 | Test Accuracy 0.6154 | Best val. Accuracy 0.6916 | Best test Accuracy 0.6154
Epoch 0020: Avg Forward 38.092ms, Avg Backward 32.674ms, Total per epoch 70.767ms
Epoch 0020/1000| Loss 0.3300 | Train Accuracy 0.6808 | Val Accuracy 0.6888 | Test Accuracy 0.6200 | Best val. Accuracy 0.6916 | Best test Accuracy 0.6154
Epoch 0021/1000| Loss 0.3268 | Train Accuracy 0.6706 | Val Accuracy 0.6899 | Test Accuracy 0.6366 | Best val. Accuracy 0.6916 | Best test Accuracy 0.6154
Epoch 0022/1000| Loss 0.3266 | Train Accuracy 0.7028 | Val Accuracy 0.7176 | Test Accuracy 0.6513 | Best val. Accuracy 0.7176 | Best test Accuracy 0.6513
Epoch 0023/1000| Loss 0.3228 | Train Accuracy 0.7147 | Val Accuracy 0.7240 | Test Accuracy 0.6557 | Best val. Accuracy 0.7240 | Best test Accuracy 0.6557
Epoch 0024/1000| Loss 0.3229 | Train Accuracy 0.7115 | Val Accuracy 0.7222 | Test Accuracy 0.6595 | Best val. Accuracy 0.7240 | Best test Accuracy 0.6557
Epoch 0025/1000| Loss 0.3191 | Train Accuracy 0.7282 | Val Accuracy 0.7300 | Test Accuracy 0.6683 | Best val. Accuracy 0.7300 | Best test Accuracy 0.6683
Epoch 0026/1000| Loss 0.3179 | Train Accuracy 0.7231 | Val Accuracy 0.7261 | Test Accuracy 0.6690 | Best val. Accuracy 0.7300 | Best test Accuracy 0.6683
Epoch 0027/1000| Loss 0.3184 | Train Accuracy 0.7195 | Val Accuracy 0.7214 | Test Accuracy 0.6663 | Best val. Accuracy 0.7300 | Best test Accuracy 0.6683
Epoch 0028/1000| Loss 0.3143 | Train Accuracy 0.7058 | Val Accuracy 0.7079 | Test Accuracy 0.6568 | Best val. Accuracy 0.7300 | Best test Accuracy 0.6683
Epoch 0029/1000| Loss 0.3128 | Train Accuracy 0.7026 | Val Accuracy 0.6987 | Test Accuracy 0.6572 | Best val. Accuracy 0.7300 | Best test Accuracy 0.6683
Epoch 0030/1000| Loss 0.3220 | Train Accuracy 0.7182 | Val Accuracy 0.7198 | Test Accuracy 0.6803 | Best val. Accuracy 0.7300 | Best test Accuracy 0.6683
Epoch 0031/1000| Loss 0.3111 | Train Accuracy 0.7127 | Val Accuracy 0.7235 | Test Accuracy 0.6911 | Best val. Accuracy 0.7300 | Best test Accuracy 0.6683
Epoch 0032/1000| Loss 0.3134 | Train Accuracy 0.7161 | Val Accuracy 0.7205 | Test Accuracy 0.6951 | Best val. Accuracy 0.7300 | Best test Accuracy 0.6683
Epoch 0033/1000| Loss 0.3118 | Train Accuracy 0.7396 | Val Accuracy 0.7371 | Test Accuracy 0.7091 | Best val. Accuracy 0.7371 | Best test Accuracy 0.7091
Epoch 0034/1000| Loss 0.3070 | Train Accuracy 0.7543 | Val Accuracy 0.7491 | Test Accuracy 0.7123 | Best val. Accuracy 0.7491 | Best test Accuracy 0.7123
Epoch 0035/1000| Loss 0.3106 | Train Accuracy 0.7393 | Val Accuracy 0.7383 | Test Accuracy 0.7135 | Best val. Accuracy 0.7491 | Best test Accuracy 0.7123
Epoch 0036/1000| Loss 0.3064 | Train Accuracy 0.7582 | Val Accuracy 0.7543 | Test Accuracy 0.7223 | Best val. Accuracy 0.7543 | Best test Accuracy 0.7223
Epoch 0037/1000| Loss 0.3054 | Train Accuracy 0.7557 | Val Accuracy 0.7586 | Test Accuracy 0.7223 | Best val. Accuracy 0.7586 | Best test Accuracy 0.7223
Epoch 0038/1000| Loss 0.3067 | Train Accuracy 0.7644 | Val Accuracy 0.7603 | Test Accuracy 0.7291 | Best val. Accuracy 0.7603 | Best test Accuracy 0.7291
Epoch 0039/1000| Loss 0.3022 | Train Accuracy 0.7581 | Val Accuracy 0.7546 | Test Accuracy 0.7395 | Best val. Accuracy 0.7603 | Best test Accuracy 0.7291
Epoch 0040: Avg Forward 37.941ms, Avg Backward 32.673ms, Total per epoch 70.614ms
