
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=8
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 235,314 total, 235,314 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 8, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 117499.7734 | Train Accuracy 0.2199 | Val Accuracy 0.2126 | Test Accuracy 0.1495 | Best val. Accuracy 0.2126 | Best test Accuracy 0.1495
Epoch 0001/1000| Loss 182490.7344 | Train Accuracy 0.1197 | Val Accuracy 0.1166 | Test Accuracy 0.0902 | Best val. Accuracy 0.2126 | Best test Accuracy 0.1495
Epoch 0002/1000| Loss 124745.0781 | Train Accuracy 0.0633 | Val Accuracy 0.0626 | Test Accuracy 0.0648 | Best val. Accuracy 0.2126 | Best test Accuracy 0.1495
Epoch 0003/1000| Loss 58334.1641 | Train Accuracy 0.0775 | Val Accuracy 0.0762 | Test Accuracy 0.0604 | Best val. Accuracy 0.2126 | Best test Accuracy 0.1495
Epoch 0004/1000| Loss 30602.3223 | Train Accuracy 0.0844 | Val Accuracy 0.0961 | Test Accuracy 0.0953 | Best val. Accuracy 0.2126 | Best test Accuracy 0.1495
Epoch 0005/1000| Loss 7956.0210 | Train Accuracy 0.2829 | Val Accuracy 0.2842 | Test Accuracy 0.2232 | Best val. Accuracy 0.2842 | Best test Accuracy 0.2232
Epoch 0006/1000| Loss 22465.5859 | Train Accuracy 0.1159 | Val Accuracy 0.1147 | Test Accuracy 0.0917 | Best val. Accuracy 0.2842 | Best test Accuracy 0.2232
Epoch 0007/1000| Loss 6433.9424 | Train Accuracy 0.3067 | Val Accuracy 0.3018 | Test Accuracy 0.2223 | Best val. Accuracy 0.3018 | Best test Accuracy 0.2223
Epoch 0008/1000| Loss 7465.5278 | Train Accuracy 0.0825 | Val Accuracy 0.0930 | Test Accuracy 0.0716 | Best val. Accuracy 0.3018 | Best test Accuracy 0.2223
Epoch 0009/1000| Loss 3882.6289 | Train Accuracy 0.1294 | Val Accuracy 0.1335 | Test Accuracy 0.1043 | Best val. Accuracy 0.3018 | Best test Accuracy 0.2223
Epoch 0010/1000| Loss 2973.2231 | Train Accuracy 0.1481 | Val Accuracy 0.1474 | Test Accuracy 0.1155 | Best val. Accuracy 0.3018 | Best test Accuracy 0.2223
Epoch 0011/1000| Loss 2867.8611 | Train Accuracy 0.3131 | Val Accuracy 0.3198 | Test Accuracy 0.2645 | Best val. Accuracy 0.3198 | Best test Accuracy 0.2645
Epoch 0012/1000| Loss 2564.3909 | Train Accuracy 0.1757 | Val Accuracy 0.1739 | Test Accuracy 0.1378 | Best val. Accuracy 0.3198 | Best test Accuracy 0.2645
Epoch 0013/1000| Loss 1975.2758 | Train Accuracy 0.2340 | Val Accuracy 0.2379 | Test Accuracy 0.1994 | Best val. Accuracy 0.3198 | Best test Accuracy 0.2645
Epoch 0014/1000| Loss 1604.1864 | Train Accuracy 0.3502 | Val Accuracy 0.3550 | Test Accuracy 0.2892 | Best val. Accuracy 0.3550 | Best test Accuracy 0.2892
Epoch 0015/1000| Loss 1384.3553 | Train Accuracy 0.2608 | Val Accuracy 0.2681 | Test Accuracy 0.2272 | Best val. Accuracy 0.3550 | Best test Accuracy 0.2892
