
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 524,039 total, 524,039 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 2.0841 | Train Accuracy 0.4041 | Val Accuracy 0.4079 | Test Accuracy 0.4048 | Best val. Accuracy 0.4079 | Best test Accuracy 0.4048
Epoch 0001/1000| Loss 1.6870 | Train Accuracy 0.3764 | Val Accuracy 0.3811 | Test Accuracy 0.3808 | Best val. Accuracy 0.4079 | Best test Accuracy 0.4048
Epoch 0002/1000| Loss 1.6556 | Train Accuracy 0.4082 | Val Accuracy 0.4103 | Test Accuracy 0.4098 | Best val. Accuracy 0.4103 | Best test Accuracy 0.4098
Epoch 0003/1000| Loss 1.9077 | Train Accuracy 0.4213 | Val Accuracy 0.4234 | Test Accuracy 0.4224 | Best val. Accuracy 0.4234 | Best test Accuracy 0.4224
Epoch 0004/1000| Loss 1.6117 | Train Accuracy 0.4214 | Val Accuracy 0.4237 | Test Accuracy 0.4231 | Best val. Accuracy 0.4237 | Best test Accuracy 0.4231
Epoch 0005/1000| Loss 1.6359 | Train Accuracy 0.4214 | Val Accuracy 0.4238 | Test Accuracy 0.4233 | Best val. Accuracy 0.4238 | Best test Accuracy 0.4233
Epoch 0006/1000| Loss 1.6906 | Train Accuracy 0.4112 | Val Accuracy 0.4175 | Test Accuracy 0.4158 | Best val. Accuracy 0.4238 | Best test Accuracy 0.4233
Epoch 0007/1000| Loss 1.6334 | Train Accuracy 0.4199 | Val Accuracy 0.4220 | Test Accuracy 0.4220 | Best val. Accuracy 0.4238 | Best test Accuracy 0.4233
Epoch 0008/1000| Loss 1.6316 | Train Accuracy 0.4212 | Val Accuracy 0.4233 | Test Accuracy 0.4228 | Best val. Accuracy 0.4238 | Best test Accuracy 0.4233
Epoch 0009/1000| Loss 1.6258 | Train Accuracy 0.4214 | Val Accuracy 0.4235 | Test Accuracy 0.4233 | Best val. Accuracy 0.4238 | Best test Accuracy 0.4233
Epoch 0010/1000| Loss 1.6087 | Train Accuracy 0.4215 | Val Accuracy 0.4236 | Test Accuracy 0.4233 | Best val. Accuracy 0.4238 | Best test Accuracy 0.4233
Epoch 0011/1000| Loss 1.5981 | Train Accuracy 0.4215 | Val Accuracy 0.4237 | Test Accuracy 0.4234 | Best val. Accuracy 0.4238 | Best test Accuracy 0.4233
Epoch 0012/1000| Loss 1.5926 | Train Accuracy 0.4215 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4238 | Best test Accuracy 0.4234
Epoch 0013/1000| Loss 1.5923 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4235 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4235
Epoch 0014/1000| Loss 1.5864 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4235 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4235
Epoch 0015/1000| Loss 1.5859 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4235 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4235
Epoch 0016/1000| Loss 1.5830 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4235
Epoch 0017/1000| Loss 1.5813 | Train Accuracy 0.4217 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4235
Epoch 0018/1000| Loss 1.5807 | Train Accuracy 0.4217 | Val Accuracy 0.4237 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4235
Epoch 0019/1000| Loss 1.5802 | Train Accuracy 0.4217 | Val Accuracy 0.4237 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4235
Epoch 0020: Avg Forward 6.771ms, Avg Backward 3.059ms, Total per epoch 9.830ms
Epoch 0020/1000| Loss 1.5788 | Train Accuracy 0.4219 | Val Accuracy 0.4238 | Test Accuracy 0.4233 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4235
Epoch 0021/1000| Loss 1.5783 | Train Accuracy 0.4223 | Val Accuracy 0.4243 | Test Accuracy 0.4235 | Best val. Accuracy 0.4243 | Best test Accuracy 0.4235
Epoch 0022/1000| Loss 1.5766 | Train Accuracy 0.4254 | Val Accuracy 0.4277 | Test Accuracy 0.4267 | Best val. Accuracy 0.4277 | Best test Accuracy 0.4267
