
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating GCN model...
Using MaxK-accelerated GCN model
Model parameters: 327,431 total, 327,431 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0028/1000| Loss 9.7096 | Train Accuracy 0.3492 | Val Accuracy 0.3477 | Test Accuracy 0.3479 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0029/1000| Loss 6.2871 | Train Accuracy 0.2151 | Val Accuracy 0.2171 | Test Accuracy 0.2166 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0030/1000| Loss 8.4491 | Train Accuracy 0.2214 | Val Accuracy 0.2182 | Test Accuracy 0.2201 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0031/1000| Loss 10.4122 | Train Accuracy 0.2962 | Val Accuracy 0.2933 | Test Accuracy 0.2913 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0032/1000| Loss 10.1365 | Train Accuracy 0.4030 | Val Accuracy 0.4041 | Test Accuracy 0.4038 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0033/1000| Loss 8.4267 | Train Accuracy 0.3560 | Val Accuracy 0.3547 | Test Accuracy 0.3543 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0034/1000| Loss 6.7813 | Train Accuracy 0.2393 | Val Accuracy 0.2401 | Test Accuracy 0.2412 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0035/1000| Loss 5.5280 | Train Accuracy 0.2797 | Val Accuracy 0.2819 | Test Accuracy 0.2785 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0036/1000| Loss 5.9169 | Train Accuracy 0.2972 | Val Accuracy 0.2967 | Test Accuracy 0.2955 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0037/1000| Loss 7.7078 | Train Accuracy 0.3155 | Val Accuracy 0.3161 | Test Accuracy 0.3137 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0038/1000| Loss 7.4007 | Train Accuracy 0.3990 | Val Accuracy 0.4034 | Test Accuracy 0.3980 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0039/1000| Loss 5.6474 | Train Accuracy 0.4076 | Val Accuracy 0.4063 | Test Accuracy 0.4033 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0040: Avg Forward 10.696ms, Avg Backward 3.447ms, Total per epoch 14.143ms
Epoch 0040/1000| Loss 6.3540 | Train Accuracy 0.3665 | Val Accuracy 0.3676 | Test Accuracy 0.3650 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0041/1000| Loss 7.1677 | Train Accuracy 0.3134 | Val Accuracy 0.3115 | Test Accuracy 0.3113 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0042/1000| Loss 6.4685 | Train Accuracy 0.3139 | Val Accuracy 0.3182 | Test Accuracy 0.3118 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0043/1000| Loss 4.6008 | Train Accuracy 0.3362 | Val Accuracy 0.3353 | Test Accuracy 0.3330 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0044/1000| Loss 4.5246 | Train Accuracy 0.3144 | Val Accuracy 0.3152 | Test Accuracy 0.3118 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0045/1000| Loss 4.7912 | Train Accuracy 0.2745 | Val Accuracy 0.2766 | Test Accuracy 0.2768 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0046/1000| Loss 4.6060 | Train Accuracy 0.3287 | Val Accuracy 0.3249 | Test Accuracy 0.3237 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0047/1000| Loss 4.2973 | Train Accuracy 0.3706 | Val Accuracy 0.3682 | Test Accuracy 0.3675 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0048/1000| Loss 4.9029 | Train Accuracy 0.4289 | Val Accuracy 0.4308 | Test Accuracy 0.4287 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0049/1000| Loss 4.1706 | Train Accuracy 0.3892 | Val Accuracy 0.3921 | Test Accuracy 0.3899 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0050/1000| Loss 3.8221 | Train Accuracy 0.3132 | Val Accuracy 0.3136 | Test Accuracy 0.3125 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0051/1000| Loss 4.2138 | Train Accuracy 0.2979 | Val Accuracy 0.2978 | Test Accuracy 0.2958 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0052/1000| Loss 3.9681 | Train Accuracy 0.3566 | Val Accuracy 0.3549 | Test Accuracy 0.3545 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0053/1000| Loss 3.3712 | Train Accuracy 0.3767 | Val Accuracy 0.3741 | Test Accuracy 0.3725 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0054/1000| Loss 3.7006 | Train Accuracy 0.3749 | Val Accuracy 0.3722 | Test Accuracy 0.3700 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0055/1000| Loss 3.7951 | Train Accuracy 0.3974 | Val Accuracy 0.3954 | Test Accuracy 0.3966 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0056/1000| Loss 3.2098 | Train Accuracy 0.3412 | Val Accuracy 0.3394 | Test Accuracy 0.3361 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0057/1000| Loss 3.1923 | Train Accuracy 0.2966 | Val Accuracy 0.2962 | Test Accuracy 0.2905 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0058/1000| Loss 3.5256 | Train Accuracy 0.3612 | Val Accuracy 0.3596 | Test Accuracy 0.3577 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0059/1000| Loss 3.1633 | Train Accuracy 0.4070 | Val Accuracy 0.4065 | Test Accuracy 0.4065 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0060: Avg Forward 10.692ms, Avg Backward 3.446ms, Total per epoch 14.138ms
Epoch 0060/1000| Loss 3.0299 | Train Accuracy 0.3608 | Val Accuracy 0.3638 | Test Accuracy 0.3566 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0061/1000| Loss 3.3224 | Train Accuracy 0.3491 | Val Accuracy 0.3485 | Test Accuracy 0.3477 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0062/1000| Loss 3.0608 | Train Accuracy 0.3632 | Val Accuracy 0.3629 | Test Accuracy 0.3606 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0063/1000| Loss 2.8750 | Train Accuracy 0.3509 | Val Accuracy 0.3535 | Test Accuracy 0.3496 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0064/1000| Loss 2.9365 | Train Accuracy 0.3415 | Val Accuracy 0.3433 | Test Accuracy 0.3371 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0065/1000| Loss 3.0114 | Train Accuracy 0.3792 | Val Accuracy 0.3793 | Test Accuracy 0.3758 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0066/1000| Loss 2.9759 | Train Accuracy 0.4051 | Val Accuracy 0.4045 | Test Accuracy 0.4052 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0067/1000| Loss 2.7484 | Train Accuracy 0.3456 | Val Accuracy 0.3473 | Test Accuracy 0.3443 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0068/1000| Loss 2.7456 | Train Accuracy 0.3041 | Val Accuracy 0.3034 | Test Accuracy 0.3004 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0069/1000| Loss 2.8757 | Train Accuracy 0.3820 | Val Accuracy 0.3849 | Test Accuracy 0.3812 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0070/1000| Loss 2.6816 | Train Accuracy 0.4024 | Val Accuracy 0.4025 | Test Accuracy 0.4013 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0071/1000| Loss 2.6968 | Train Accuracy 0.3689 | Val Accuracy 0.3688 | Test Accuracy 0.3674 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0072/1000| Loss 2.6433 | Train Accuracy 0.3290 | Val Accuracy 0.3282 | Test Accuracy 0.3239 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0073/1000| Loss 2.7005 | Train Accuracy 0.3659 | Val Accuracy 0.3632 | Test Accuracy 0.3623 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0074/1000| Loss 2.5474 | Train Accuracy 0.3861 | Val Accuracy 0.3862 | Test Accuracy 0.3803 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0075/1000| Loss 2.5885 | Train Accuracy 0.3603 | Val Accuracy 0.3615 | Test Accuracy 0.3552 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0076/1000| Loss 2.5756 | Train Accuracy 0.3482 | Val Accuracy 0.3496 | Test Accuracy 0.3446 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0077/1000| Loss 2.5376 | Train Accuracy 0.3738 | Val Accuracy 0.3739 | Test Accuracy 0.3720 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0078/1000| Loss 2.4837 | Train Accuracy 0.3781 | Val Accuracy 0.3778 | Test Accuracy 0.3740 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0079/1000| Loss 2.5159 | Train Accuracy 0.3836 | Val Accuracy 0.3844 | Test Accuracy 0.3789 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0080: Avg Forward 10.691ms, Avg Backward 3.445ms, Total per epoch 14.137ms
Epoch 0080/1000| Loss 2.4748 | Train Accuracy 0.3578 | Val Accuracy 0.3582 | Test Accuracy 0.3550 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0081/1000| Loss 2.4364 | Train Accuracy 0.3518 | Val Accuracy 0.3512 | Test Accuracy 0.3497 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0082/1000| Loss 2.4454 | Train Accuracy 0.3900 | Val Accuracy 0.3901 | Test Accuracy 0.3872 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0083/1000| Loss 2.4278 | Train Accuracy 0.3899 | Val Accuracy 0.3897 | Test Accuracy 0.3884 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0084/1000| Loss 2.3905 | Train Accuracy 0.3526 | Val Accuracy 0.3512 | Test Accuracy 0.3457 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0085/1000| Loss 2.3918 | Train Accuracy 0.3579 | Val Accuracy 0.3572 | Test Accuracy 0.3537 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0086/1000| Loss 2.3621 | Train Accuracy 0.3905 | Val Accuracy 0.3916 | Test Accuracy 0.3877 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0087/1000| Loss 2.3549 | Train Accuracy 0.3808 | Val Accuracy 0.3810 | Test Accuracy 0.3787 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0088/1000| Loss 2.3380 | Train Accuracy 0.3537 | Val Accuracy 0.3539 | Test Accuracy 0.3499 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0089/1000| Loss 2.3368 | Train Accuracy 0.3765 | Val Accuracy 0.3773 | Test Accuracy 0.3737 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0090/1000| Loss 2.2951 | Train Accuracy 0.3839 | Val Accuracy 0.3840 | Test Accuracy 0.3794 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0091/1000| Loss 2.3154 | Train Accuracy 0.3759 | Val Accuracy 0.3751 | Test Accuracy 0.3738 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0092/1000| Loss 2.2784 | Train Accuracy 0.3659 | Val Accuracy 0.3669 | Test Accuracy 0.3624 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0093/1000| Loss 2.2732 | Train Accuracy 0.3825 | Val Accuracy 0.3825 | Test Accuracy 0.3805 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0094/1000| Loss 2.2698 | Train Accuracy 0.3830 | Val Accuracy 0.3846 | Test Accuracy 0.3823 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0095/1000| Loss 2.2473 | Train Accuracy 0.3665 | Val Accuracy 0.3655 | Test Accuracy 0.3618 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
Epoch 0096/1000| Loss 2.2426 | Train Accuracy 0.3805 | Val Accuracy 0.3784 | Test Accuracy 0.3759 | Best val. Accuracy 0.4560 | Best test Accuracy 0.4545
