
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GCN model...
Using MaxK-accelerated GCN model
Model parameters: 228,464 total, 228,464 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0028/1000| Loss 219.7957 | Train Accuracy 0.5632 | Val Accuracy 0.5391 | Test Accuracy 0.4990 | Best val. Accuracy 0.5391 | Best test Accuracy 0.4990
Epoch 0029/1000| Loss 212.1434 | Train Accuracy 0.5634 | Val Accuracy 0.5404 | Test Accuracy 0.4994 | Best val. Accuracy 0.5404 | Best test Accuracy 0.4994
Epoch 0030/1000| Loss 207.5265 | Train Accuracy 0.5656 | Val Accuracy 0.5432 | Test Accuracy 0.4983 | Best val. Accuracy 0.5432 | Best test Accuracy 0.4983
Epoch 0031/1000| Loss 203.5627 | Train Accuracy 0.5676 | Val Accuracy 0.5461 | Test Accuracy 0.4982 | Best val. Accuracy 0.5461 | Best test Accuracy 0.4982
Epoch 0032/1000| Loss 193.1821 | Train Accuracy 0.5724 | Val Accuracy 0.5500 | Test Accuracy 0.5013 | Best val. Accuracy 0.5500 | Best test Accuracy 0.5013
Epoch 0033/1000| Loss 185.3546 | Train Accuracy 0.5771 | Val Accuracy 0.5550 | Test Accuracy 0.5026 | Best val. Accuracy 0.5550 | Best test Accuracy 0.5026
Epoch 0034/1000| Loss 181.7397 | Train Accuracy 0.5760 | Val Accuracy 0.5535 | Test Accuracy 0.5027 | Best val. Accuracy 0.5550 | Best test Accuracy 0.5026
Epoch 0035/1000| Loss 177.8805 | Train Accuracy 0.5790 | Val Accuracy 0.5548 | Test Accuracy 0.5022 | Best val. Accuracy 0.5550 | Best test Accuracy 0.5026
Epoch 0036/1000| Loss 172.3954 | Train Accuracy 0.5789 | Val Accuracy 0.5530 | Test Accuracy 0.5019 | Best val. Accuracy 0.5550 | Best test Accuracy 0.5026
Epoch 0037/1000| Loss 166.8096 | Train Accuracy 0.5789 | Val Accuracy 0.5521 | Test Accuracy 0.5001 | Best val. Accuracy 0.5550 | Best test Accuracy 0.5026
Epoch 0038/1000| Loss 164.5991 | Train Accuracy 0.5753 | Val Accuracy 0.5496 | Test Accuracy 0.4997 | Best val. Accuracy 0.5550 | Best test Accuracy 0.5026
