
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 425,072 total, 425,072 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 16.1082 | Train Accuracy 0.4695 | Val Accuracy 0.4588 | Test Accuracy 0.4691 | Best val. Accuracy 0.4588 | Best test Accuracy 0.4691
Epoch 0001/1000| Loss 4.1326 | Train Accuracy 0.4160 | Val Accuracy 0.4175 | Test Accuracy 0.4525 | Best val. Accuracy 0.4588 | Best test Accuracy 0.4691
Epoch 0002/1000| Loss 1.4191 | Train Accuracy 0.4269 | Val Accuracy 0.4283 | Test Accuracy 0.4653 | Best val. Accuracy 0.4588 | Best test Accuracy 0.4691
Epoch 0003/1000| Loss 1.8777 | Train Accuracy 0.4956 | Val Accuracy 0.4683 | Test Accuracy 0.5155 | Best val. Accuracy 0.4683 | Best test Accuracy 0.5155
Epoch 0004/1000| Loss 2.7625 | Train Accuracy 0.4577 | Val Accuracy 0.4725 | Test Accuracy 0.4879 | Best val. Accuracy 0.4725 | Best test Accuracy 0.4879
Epoch 0005/1000| Loss 2.8656 | Train Accuracy 0.4281 | Val Accuracy 0.4286 | Test Accuracy 0.4569 | Best val. Accuracy 0.4725 | Best test Accuracy 0.4879
Epoch 0006/1000| Loss 2.6211 | Train Accuracy 0.4971 | Val Accuracy 0.4713 | Test Accuracy 0.4727 | Best val. Accuracy 0.4725 | Best test Accuracy 0.4879
Epoch 0007/1000| Loss 2.0372 | Train Accuracy 0.5508 | Val Accuracy 0.5115 | Test Accuracy 0.4872 | Best val. Accuracy 0.5115 | Best test Accuracy 0.4872
Epoch 0008/1000| Loss 1.2398 | Train Accuracy 0.5809 | Val Accuracy 0.5183 | Test Accuracy 0.5149 | Best val. Accuracy 0.5183 | Best test Accuracy 0.5149
Epoch 0009/1000| Loss 0.8615 | Train Accuracy 0.5910 | Val Accuracy 0.5291 | Test Accuracy 0.5077 | Best val. Accuracy 0.5291 | Best test Accuracy 0.5077
Epoch 0010/1000| Loss 0.7130 | Train Accuracy 0.5681 | Val Accuracy 0.5034 | Test Accuracy 0.4678 | Best val. Accuracy 0.5291 | Best test Accuracy 0.5077
