
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=256
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating SAGE model...
Using MaxK-accelerated SAGE model
Model parameters: 524,039 total, 524,039 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 256, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 36.9580 | Train Accuracy 0.3271 | Val Accuracy 0.3337 | Test Accuracy 0.3286 | Best val. Accuracy 0.3337 | Best test Accuracy 0.3286
Epoch 0001/1000| Loss 126.1021 | Train Accuracy 0.3418 | Val Accuracy 0.3390 | Test Accuracy 0.3381 | Best val. Accuracy 0.3390 | Best test Accuracy 0.3381
Epoch 0002/1000| Loss 324.4563 | Train Accuracy 0.0709 | Val Accuracy 0.0721 | Test Accuracy 0.0735 | Best val. Accuracy 0.3390 | Best test Accuracy 0.3381
Epoch 0003/1000| Loss 6104.6377 | Train Accuracy 0.4216 | Val Accuracy 0.4237 | Test Accuracy 0.4234 | Best val. Accuracy 0.4237 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 1141.6819 | Train Accuracy 0.2583 | Val Accuracy 0.2581 | Test Accuracy 0.2547 | Best val. Accuracy 0.4237 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 1640.0746 | Train Accuracy 0.0709 | Val Accuracy 0.0721 | Test Accuracy 0.0734 | Best val. Accuracy 0.4237 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 1447.9156 | Train Accuracy 0.0968 | Val Accuracy 0.0952 | Test Accuracy 0.0924 | Best val. Accuracy 0.4237 | Best test Accuracy 0.4234
Epoch 0007/1000| Loss 2867.7517 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4237 | Best test Accuracy 0.4234
Epoch 0008/1000| Loss 1229.6562 | Train Accuracy 0.3587 | Val Accuracy 0.3634 | Test Accuracy 0.3589 | Best val. Accuracy 0.4237 | Best test Accuracy 0.4234
Epoch 0009/1000| Loss 665.2879 | Train Accuracy 0.0709 | Val Accuracy 0.0721 | Test Accuracy 0.0735 | Best val. Accuracy 0.4237 | Best test Accuracy 0.4234
Epoch 0010/1000| Loss 1856.9973 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0011/1000| Loss 870.6790 | Train Accuracy 0.0600 | Val Accuracy 0.0593 | Test Accuracy 0.0627 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0012/1000| Loss 912.4979 | Train Accuracy 0.3867 | Val Accuracy 0.3883 | Test Accuracy 0.3857 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0013/1000| Loss 318.5686 | Train Accuracy 0.2923 | Val Accuracy 0.2925 | Test Accuracy 0.2884 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0014/1000| Loss 265.5580 | Train Accuracy 0.0709 | Val Accuracy 0.0722 | Test Accuracy 0.0735 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0015/1000| Loss 843.2152 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4235 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0016/1000| Loss 516.4824 | Train Accuracy 0.3230 | Val Accuracy 0.3204 | Test Accuracy 0.3173 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0017/1000| Loss 126.3976 | Train Accuracy 0.1007 | Val Accuracy 0.0996 | Test Accuracy 0.0986 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0018/1000| Loss 279.7751 | Train Accuracy 0.0974 | Val Accuracy 0.0938 | Test Accuracy 0.0983 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0019/1000| Loss 235.8154 | Train Accuracy 0.4210 | Val Accuracy 0.4233 | Test Accuracy 0.4228 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0020: Avg Forward 14.972ms, Avg Backward 5.183ms, Total per epoch 20.154ms
Epoch 0020/1000| Loss 279.6896 | Train Accuracy 0.0545 | Val Accuracy 0.0549 | Test Accuracy 0.0559 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0021/1000| Loss 367.3549 | Train Accuracy 0.4207 | Val Accuracy 0.4230 | Test Accuracy 0.4221 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0022/1000| Loss 142.0254 | Train Accuracy 0.0966 | Val Accuracy 0.0937 | Test Accuracy 0.0927 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0023/1000| Loss 237.0839 | Train Accuracy 0.0595 | Val Accuracy 0.0582 | Test Accuracy 0.0612 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0024/1000| Loss 236.3711 | Train Accuracy 0.4177 | Val Accuracy 0.4199 | Test Accuracy 0.4194 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0025/1000| Loss 289.5154 | Train Accuracy 0.1244 | Val Accuracy 0.1246 | Test Accuracy 0.1228 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0026/1000| Loss 212.0630 | Train Accuracy 0.2559 | Val Accuracy 0.2555 | Test Accuracy 0.2521 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0027/1000| Loss 484.9186 | Train Accuracy 0.2574 | Val Accuracy 0.2574 | Test Accuracy 0.2540 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0028/1000| Loss 446.6051 | Train Accuracy 0.0719 | Val Accuracy 0.0729 | Test Accuracy 0.0746 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0029/1000| Loss 593.7678 | Train Accuracy 0.4215 | Val Accuracy 0.4237 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0030/1000| Loss 298.9178 | Train Accuracy 0.2583 | Val Accuracy 0.2580 | Test Accuracy 0.2547 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0031/1000| Loss 485.3091 | Train Accuracy 0.2582 | Val Accuracy 0.2580 | Test Accuracy 0.2546 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0032/1000| Loss 321.8418 | Train Accuracy 0.0545 | Val Accuracy 0.0549 | Test Accuracy 0.0559 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0033/1000| Loss 965.7947 | Train Accuracy 0.0391 | Val Accuracy 0.0385 | Test Accuracy 0.0394 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0034/1000| Loss 297.7906 | Train Accuracy 0.3973 | Val Accuracy 0.3979 | Test Accuracy 0.3988 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0035/1000| Loss 114.8485 | Train Accuracy 0.0678 | Val Accuracy 0.0690 | Test Accuracy 0.0709 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
