
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating GCN model...
Using MaxK-accelerated GCN model
Model parameters: 327,431 total, 327,431 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 19.6364 | Train Accuracy 0.0674 | Val Accuracy 0.0675 | Test Accuracy 0.0690 | Best val. Accuracy 0.0675 | Best test Accuracy 0.0690
Epoch 0001/1000| Loss 12.6692 | Train Accuracy 0.0918 | Val Accuracy 0.0916 | Test Accuracy 0.0912 | Best val. Accuracy 0.0916 | Best test Accuracy 0.0912
Epoch 0002/1000| Loss 6.5069 | Train Accuracy 0.2819 | Val Accuracy 0.2832 | Test Accuracy 0.2759 | Best val. Accuracy 0.2832 | Best test Accuracy 0.2759
Epoch 0003/1000| Loss 3.8437 | Train Accuracy 0.3769 | Val Accuracy 0.3805 | Test Accuracy 0.3734 | Best val. Accuracy 0.3805 | Best test Accuracy 0.3734
Epoch 0004/1000| Loss 4.0366 | Train Accuracy 0.3834 | Val Accuracy 0.3861 | Test Accuracy 0.3833 | Best val. Accuracy 0.3861 | Best test Accuracy 0.3833
Epoch 0005/1000| Loss 4.1172 | Train Accuracy 0.3687 | Val Accuracy 0.3752 | Test Accuracy 0.3691 | Best val. Accuracy 0.3861 | Best test Accuracy 0.3833
Epoch 0006/1000| Loss 4.7311 | Train Accuracy 0.3572 | Val Accuracy 0.3601 | Test Accuracy 0.3532 | Best val. Accuracy 0.3861 | Best test Accuracy 0.3833
Epoch 0007/1000| Loss 5.2951 | Train Accuracy 0.3627 | Val Accuracy 0.3645 | Test Accuracy 0.3595 | Best val. Accuracy 0.3861 | Best test Accuracy 0.3833
Epoch 0008/1000| Loss 5.2641 | Train Accuracy 0.3530 | Val Accuracy 0.3554 | Test Accuracy 0.3531 | Best val. Accuracy 0.3861 | Best test Accuracy 0.3833
Epoch 0009/1000| Loss 5.0710 | Train Accuracy 0.3469 | Val Accuracy 0.3488 | Test Accuracy 0.3475 | Best val. Accuracy 0.3861 | Best test Accuracy 0.3833
Epoch 0010/1000| Loss 5.0283 | Train Accuracy 0.3758 | Val Accuracy 0.3771 | Test Accuracy 0.3744 | Best val. Accuracy 0.3861 | Best test Accuracy 0.3833
