
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=64
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 425,072 total, 425,072 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 64, Nonlinearity: maxk
Starting training...
Epoch 0028/1000| Loss 0.7058 | Train Accuracy 0.5985 | Val Accuracy 0.5661 | Test Accuracy 0.5303 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0029/1000| Loss 0.6644 | Train Accuracy 0.6019 | Val Accuracy 0.5715 | Test Accuracy 0.5368 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0030/1000| Loss 0.6420 | Train Accuracy 0.6112 | Val Accuracy 0.5807 | Test Accuracy 0.5395 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0031/1000| Loss 0.6284 | Train Accuracy 0.6129 | Val Accuracy 0.5840 | Test Accuracy 0.5445 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0032/1000| Loss 0.5985 | Train Accuracy 0.6122 | Val Accuracy 0.5825 | Test Accuracy 0.5467 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0033/1000| Loss 0.5647 | Train Accuracy 0.6012 | Val Accuracy 0.5743 | Test Accuracy 0.5432 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0034/1000| Loss 0.5618 | Train Accuracy 0.6075 | Val Accuracy 0.5789 | Test Accuracy 0.5458 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0035/1000| Loss 0.5442 | Train Accuracy 0.6334 | Val Accuracy 0.5969 | Test Accuracy 0.5433 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0036/1000| Loss 0.5153 | Train Accuracy 0.6492 | Val Accuracy 0.6090 | Test Accuracy 0.5352 | Best val. Accuracy 0.6098 | Best test Accuracy 0.5563
Epoch 0037/1000| Loss 0.5080 | Train Accuracy 0.6535 | Val Accuracy 0.6126 | Test Accuracy 0.5392 | Best val. Accuracy 0.6126 | Best test Accuracy 0.5392
Epoch 0038/1000| Loss 0.5187 | Train Accuracy 0.6630 | Val Accuracy 0.6149 | Test Accuracy 0.5656 | Best val. Accuracy 0.6149 | Best test Accuracy 0.5656
Epoch 0039/1000| Loss 0.5841 | Train Accuracy 0.6397 | Val Accuracy 0.5960 | Test Accuracy 0.5408 | Best val. Accuracy 0.6149 | Best test Accuracy 0.5656
Epoch 0040: Avg Forward 41.009ms, Avg Backward 32.667ms, Total per epoch 73.676ms
Epoch 0040/1000| Loss 0.4902 | Train Accuracy 0.6179 | Val Accuracy 0.5834 | Test Accuracy 0.5353 | Best val. Accuracy 0.6149 | Best test Accuracy 0.5656
Epoch 0041/1000| Loss 0.4760 | Train Accuracy 0.6151 | Val Accuracy 0.5769 | Test Accuracy 0.5385 | Best val. Accuracy 0.6149 | Best test Accuracy 0.5656
Epoch 0042/1000| Loss 0.4720 | Train Accuracy 0.6215 | Val Accuracy 0.5795 | Test Accuracy 0.5392 | Best val. Accuracy 0.6149 | Best test Accuracy 0.5656
Epoch 0043/1000| Loss 0.4606 | Train Accuracy 0.6290 | Val Accuracy 0.5876 | Test Accuracy 0.5389 | Best val. Accuracy 0.6149 | Best test Accuracy 0.5656
Epoch 0044/1000| Loss 0.4532 | Train Accuracy 0.6343 | Val Accuracy 0.5964 | Test Accuracy 0.5446 | Best val. Accuracy 0.6149 | Best test Accuracy 0.5656
Epoch 0045/1000| Loss 0.4456 | Train Accuracy 0.6338 | Val Accuracy 0.6026 | Test Accuracy 0.5505 | Best val. Accuracy 0.6149 | Best test Accuracy 0.5656
Epoch 0046/1000| Loss 0.4381 | Train Accuracy 0.6323 | Val Accuracy 0.6038 | Test Accuracy 0.5548 | Best val. Accuracy 0.6149 | Best test Accuracy 0.5656
Epoch 0047/1000| Loss 0.4307 | Train Accuracy 0.6343 | Val Accuracy 0.6075 | Test Accuracy 0.5602 | Best val. Accuracy 0.6149 | Best test Accuracy 0.5656
Epoch 0048/1000| Loss 0.4248 | Train Accuracy 0.6469 | Val Accuracy 0.6222 | Test Accuracy 0.5670 | Best val. Accuracy 0.6222 | Best test Accuracy 0.5670
Epoch 0049/1000| Loss 0.4184 | Train Accuracy 0.6548 | Val Accuracy 0.6333 | Test Accuracy 0.5703 | Best val. Accuracy 0.6333 | Best test Accuracy 0.5703
Epoch 0050/1000| Loss 0.4083 | Train Accuracy 0.6618 | Val Accuracy 0.6440 | Test Accuracy 0.5756 | Best val. Accuracy 0.6440 | Best test Accuracy 0.5756
Epoch 0051/1000| Loss 0.4041 | Train Accuracy 0.6685 | Val Accuracy 0.6536 | Test Accuracy 0.5837 | Best val. Accuracy 0.6536 | Best test Accuracy 0.5837
Epoch 0052/1000| Loss 0.3999 | Train Accuracy 0.6810 | Val Accuracy 0.6663 | Test Accuracy 0.5933 | Best val. Accuracy 0.6663 | Best test Accuracy 0.5933
Epoch 0053/1000| Loss 0.3940 | Train Accuracy 0.6913 | Val Accuracy 0.6750 | Test Accuracy 0.6017 | Best val. Accuracy 0.6750 | Best test Accuracy 0.6017
Epoch 0054/1000| Loss 0.3889 | Train Accuracy 0.6905 | Val Accuracy 0.6749 | Test Accuracy 0.6051 | Best val. Accuracy 0.6750 | Best test Accuracy 0.6017
Epoch 0055/1000| Loss 0.3871 | Train Accuracy 0.6838 | Val Accuracy 0.6693 | Test Accuracy 0.6056 | Best val. Accuracy 0.6750 | Best test Accuracy 0.6017
Epoch 0056/1000| Loss 0.3818 | Train Accuracy 0.6773 | Val Accuracy 0.6656 | Test Accuracy 0.6075 | Best val. Accuracy 0.6750 | Best test Accuracy 0.6017
Epoch 0057/1000| Loss 0.3793 | Train Accuracy 0.6740 | Val Accuracy 0.6651 | Test Accuracy 0.6114 | Best val. Accuracy 0.6750 | Best test Accuracy 0.6017
Epoch 0058/1000| Loss 0.3751 | Train Accuracy 0.6739 | Val Accuracy 0.6694 | Test Accuracy 0.6186 | Best val. Accuracy 0.6750 | Best test Accuracy 0.6017
Epoch 0059/1000| Loss 0.3727 | Train Accuracy 0.6812 | Val Accuracy 0.6749 | Test Accuracy 0.6237 | Best val. Accuracy 0.6750 | Best test Accuracy 0.6017
Epoch 0060: Avg Forward 41.060ms, Avg Backward 32.668ms, Total per epoch 73.728ms
Epoch 0060/1000| Loss 0.3692 | Train Accuracy 0.6912 | Val Accuracy 0.6818 | Test Accuracy 0.6314 | Best val. Accuracy 0.6818 | Best test Accuracy 0.6314
Epoch 0061/1000| Loss 0.3662 | Train Accuracy 0.6971 | Val Accuracy 0.6859 | Test Accuracy 0.6348 | Best val. Accuracy 0.6859 | Best test Accuracy 0.6348
Epoch 0062/1000| Loss 0.3620 | Train Accuracy 0.6929 | Val Accuracy 0.6826 | Test Accuracy 0.6325 | Best val. Accuracy 0.6859 | Best test Accuracy 0.6348
Epoch 0063/1000| Loss 0.3620 | Train Accuracy 0.6846 | Val Accuracy 0.6772 | Test Accuracy 0.6289 | Best val. Accuracy 0.6859 | Best test Accuracy 0.6348
Epoch 0064/1000| Loss 0.3598 | Train Accuracy 0.6910 | Val Accuracy 0.6794 | Test Accuracy 0.6277 | Best val. Accuracy 0.6859 | Best test Accuracy 0.6348
Epoch 0065/1000| Loss 0.3553 | Train Accuracy 0.7034 | Val Accuracy 0.6853 | Test Accuracy 0.6337 | Best val. Accuracy 0.6859 | Best test Accuracy 0.6348
Epoch 0066/1000| Loss 0.3524 | Train Accuracy 0.7118 | Val Accuracy 0.6926 | Test Accuracy 0.6409 | Best val. Accuracy 0.6926 | Best test Accuracy 0.6409
Epoch 0067/1000| Loss 0.3532 | Train Accuracy 0.7115 | Val Accuracy 0.6948 | Test Accuracy 0.6447 | Best val. Accuracy 0.6948 | Best test Accuracy 0.6447
Epoch 0068/1000| Loss 0.3477 | Train Accuracy 0.7080 | Val Accuracy 0.6941 | Test Accuracy 0.6501 | Best val. Accuracy 0.6948 | Best test Accuracy 0.6447
Epoch 0069/1000| Loss 0.3487 | Train Accuracy 0.7112 | Val Accuracy 0.6990 | Test Accuracy 0.6583 | Best val. Accuracy 0.6990 | Best test Accuracy 0.6583
Epoch 0070/1000| Loss 0.3439 | Train Accuracy 0.7051 | Val Accuracy 0.6967 | Test Accuracy 0.6585 | Best val. Accuracy 0.6990 | Best test Accuracy 0.6583
