
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: flickr
Kernel mode: auto
Creating GCN model...
Using MaxK-accelerated GCN model
Model parameters: 327,431 total, 327,431 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 47.6918 | Train Accuracy 0.0663 | Val Accuracy 0.0647 | Test Accuracy 0.0663 | Best val. Accuracy 0.0647 | Best test Accuracy 0.0663
Epoch 0001/1000| Loss 25.3388 | Train Accuracy 0.0601 | Val Accuracy 0.0585 | Test Accuracy 0.0610 | Best val. Accuracy 0.0647 | Best test Accuracy 0.0663
Epoch 0002/1000| Loss 16.6311 | Train Accuracy 0.0690 | Val Accuracy 0.0676 | Test Accuracy 0.0666 | Best val. Accuracy 0.0676 | Best test Accuracy 0.0666
Epoch 0003/1000| Loss 12.7920 | Train Accuracy 0.3817 | Val Accuracy 0.3819 | Test Accuracy 0.3813 | Best val. Accuracy 0.3819 | Best test Accuracy 0.3813
Epoch 0004/1000| Loss 8.6938 | Train Accuracy 0.4151 | Val Accuracy 0.4181 | Test Accuracy 0.4161 | Best val. Accuracy 0.4181 | Best test Accuracy 0.4161
Epoch 0005/1000| Loss 12.7462 | Train Accuracy 0.4165 | Val Accuracy 0.4198 | Test Accuracy 0.4174 | Best val. Accuracy 0.4198 | Best test Accuracy 0.4174
Epoch 0006/1000| Loss 15.3537 | Train Accuracy 0.4015 | Val Accuracy 0.4010 | Test Accuracy 0.3988 | Best val. Accuracy 0.4198 | Best test Accuracy 0.4174
Epoch 0007/1000| Loss 16.9000 | Train Accuracy 0.3927 | Val Accuracy 0.3919 | Test Accuracy 0.3917 | Best val. Accuracy 0.4198 | Best test Accuracy 0.4174
Epoch 0008/1000| Loss 17.7573 | Train Accuracy 0.4120 | Val Accuracy 0.4128 | Test Accuracy 0.4137 | Best val. Accuracy 0.4198 | Best test Accuracy 0.4174
Epoch 0009/1000| Loss 17.6672 | Train Accuracy 0.4250 | Val Accuracy 0.4276 | Test Accuracy 0.4254 | Best val. Accuracy 0.4276 | Best test Accuracy 0.4254
Epoch 0010/1000| Loss 17.2199 | Train Accuracy 0.4265 | Val Accuracy 0.4291 | Test Accuracy 0.4271 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0011/1000| Loss 16.1508 | Train Accuracy 0.4171 | Val Accuracy 0.4167 | Test Accuracy 0.4190 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0012/1000| Loss 14.6058 | Train Accuracy 0.4029 | Val Accuracy 0.4053 | Test Accuracy 0.4024 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0013/1000| Loss 12.8487 | Train Accuracy 0.2309 | Val Accuracy 0.2308 | Test Accuracy 0.2295 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0014/1000| Loss 12.5662 | Train Accuracy 0.1825 | Val Accuracy 0.1820 | Test Accuracy 0.1810 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0015/1000| Loss 12.5474 | Train Accuracy 0.2852 | Val Accuracy 0.2846 | Test Accuracy 0.2849 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0016/1000| Loss 9.8986 | Train Accuracy 0.3952 | Val Accuracy 0.3980 | Test Accuracy 0.3951 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0017/1000| Loss 8.5869 | Train Accuracy 0.3034 | Val Accuracy 0.3098 | Test Accuracy 0.3062 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0018/1000| Loss 8.5717 | Train Accuracy 0.3485 | Val Accuracy 0.3530 | Test Accuracy 0.3493 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0019/1000| Loss 7.7724 | Train Accuracy 0.4181 | Val Accuracy 0.4236 | Test Accuracy 0.4209 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0020: Avg Forward 8.943ms, Avg Backward 3.292ms, Total per epoch 12.235ms
Epoch 0020/1000| Loss 6.7258 | Train Accuracy 0.4208 | Val Accuracy 0.4210 | Test Accuracy 0.4228 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0021/1000| Loss 5.6417 | Train Accuracy 0.3280 | Val Accuracy 0.3270 | Test Accuracy 0.3281 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0022/1000| Loss 4.9539 | Train Accuracy 0.1902 | Val Accuracy 0.1854 | Test Accuracy 0.1888 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0023/1000| Loss 5.7717 | Train Accuracy 0.2115 | Val Accuracy 0.2114 | Test Accuracy 0.2140 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0024/1000| Loss 4.2824 | Train Accuracy 0.1783 | Val Accuracy 0.1795 | Test Accuracy 0.1781 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0025/1000| Loss 5.1553 | Train Accuracy 0.2186 | Val Accuracy 0.2195 | Test Accuracy 0.2195 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0026/1000| Loss 4.8825 | Train Accuracy 0.3733 | Val Accuracy 0.3765 | Test Accuracy 0.3733 | Best val. Accuracy 0.4291 | Best test Accuracy 0.4271
Epoch 0027/1000| Loss 4.3284 | Train Accuracy 0.4353 | Val Accuracy 0.4361 | Test Accuracy 0.4374 | Best val. Accuracy 0.4361 | Best test Accuracy 0.4374
Epoch 0028/1000| Loss 4.6581 | Train Accuracy 0.4374 | Val Accuracy 0.4380 | Test Accuracy 0.4368 | Best val. Accuracy 0.4380 | Best test Accuracy 0.4368
Epoch 0029/1000| Loss 4.7406 | Train Accuracy 0.4136 | Val Accuracy 0.4113 | Test Accuracy 0.4107 | Best val. Accuracy 0.4380 | Best test Accuracy 0.4368
Epoch 0030/1000| Loss 4.5694 | Train Accuracy 0.3622 | Val Accuracy 0.3592 | Test Accuracy 0.3597 | Best val. Accuracy 0.4380 | Best test Accuracy 0.4368
Epoch 0031/1000| Loss 4.4172 | Train Accuracy 0.2610 | Val Accuracy 0.2578 | Test Accuracy 0.2574 | Best val. Accuracy 0.4380 | Best test Accuracy 0.4368
Epoch 0032/1000| Loss 4.8060 | Train Accuracy 0.3125 | Val Accuracy 0.3098 | Test Accuracy 0.3097 | Best val. Accuracy 0.4380 | Best test Accuracy 0.4368
