
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=32
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GIN model...
Using standard DGL GIN model
Model parameters: 327,434 total, 327,434 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 32, Nonlinearity: maxk
Starting training...
Epoch 0028/1000| Loss 13.3946 | Train Accuracy 0.2494 | Val Accuracy 0.2504 | Test Accuracy 0.2576 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0029/1000| Loss 11.4850 | Train Accuracy 0.4180 | Val Accuracy 0.4200 | Test Accuracy 0.4198 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0030/1000| Loss 27.0154 | Train Accuracy 0.2643 | Val Accuracy 0.2653 | Test Accuracy 0.2659 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0031/1000| Loss 13.6663 | Train Accuracy 0.2146 | Val Accuracy 0.2151 | Test Accuracy 0.2176 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0032/1000| Loss 13.3488 | Train Accuracy 0.2574 | Val Accuracy 0.2560 | Test Accuracy 0.2552 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0033/1000| Loss 14.7553 | Train Accuracy 0.1163 | Val Accuracy 0.1127 | Test Accuracy 0.1133 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0034/1000| Loss 15.0461 | Train Accuracy 0.3799 | Val Accuracy 0.3828 | Test Accuracy 0.3850 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0035/1000| Loss 15.1314 | Train Accuracy 0.4187 | Val Accuracy 0.4215 | Test Accuracy 0.4216 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0036/1000| Loss 16.6102 | Train Accuracy 0.2675 | Val Accuracy 0.2666 | Test Accuracy 0.2637 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0037/1000| Loss 21.5779 | Train Accuracy 0.2636 | Val Accuracy 0.2621 | Test Accuracy 0.2592 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0038/1000| Loss 27.2389 | Train Accuracy 0.4171 | Val Accuracy 0.4192 | Test Accuracy 0.4200 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0039/1000| Loss 15.5959 | Train Accuracy 0.2754 | Val Accuracy 0.2741 | Test Accuracy 0.2733 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0040: Avg Forward 7.479ms, Avg Backward 3.678ms, Total per epoch 11.157ms
Epoch 0040/1000| Loss 13.1181 | Train Accuracy 0.3495 | Val Accuracy 0.3465 | Test Accuracy 0.3478 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
