
Parameters:
DATA_PATH=./data/
DATASET=ogbn-products
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=128
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=sage
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating SAGE model...
Using standard DGL SAGE model
Model parameters: 431,919 total, 431,919 trainable
Graph statistics: 2449029 nodes, 123718280 edges
Average degree: 50.52
Feature dimension: 100, Hidden dimension: 256
MaxK value: 128, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 7.9297 | Train Accuracy 0.3084 | Val Accuracy 0.3083 | Test Accuracy 0.2694 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0001/1000| Loss 33.2358 | Train Accuracy 0.3079 | Val Accuracy 0.3077 | Test Accuracy 0.2640 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0002/1000| Loss 11.6580 | Train Accuracy 0.0857 | Val Accuracy 0.0873 | Test Accuracy 0.0702 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0003/1000| Loss 11.3001 | Train Accuracy 0.0008 | Val Accuracy 0.0010 | Test Accuracy 0.0012 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0004/1000| Loss 17.1402 | Train Accuracy 0.1197 | Val Accuracy 0.1186 | Test Accuracy 0.1023 | Best val. Accuracy 0.3083 | Best test Accuracy 0.2694
Epoch 0005/1000| Loss 15.8865 | Train Accuracy 0.3778 | Val Accuracy 0.3741 | Test Accuracy 0.2790 | Best val. Accuracy 0.3741 | Best test Accuracy 0.2790
Epoch 0006/1000| Loss 5.3544 | Train Accuracy 0.3342 | Val Accuracy 0.3342 | Test Accuracy 0.2870 | Best val. Accuracy 0.3741 | Best test Accuracy 0.2790
Epoch 0007/1000| Loss 11.7327 | Train Accuracy 0.4126 | Val Accuracy 0.4126 | Test Accuracy 0.3316 | Best val. Accuracy 0.4126 | Best test Accuracy 0.3316
Epoch 0008/1000| Loss 4.3610 | Train Accuracy 0.1849 | Val Accuracy 0.1843 | Test Accuracy 0.1524 | Best val. Accuracy 0.4126 | Best test Accuracy 0.3316
Epoch 0009/1000| Loss 7.5845 | Train Accuracy 0.4071 | Val Accuracy 0.4014 | Test Accuracy 0.3095 | Best val. Accuracy 0.4126 | Best test Accuracy 0.3316
Epoch 0010/1000| Loss 4.7692 | Train Accuracy 0.5789 | Val Accuracy 0.5748 | Test Accuracy 0.4423 | Best val. Accuracy 0.5748 | Best test Accuracy 0.4423
Epoch 0011/1000| Loss 2.8066 | Train Accuracy 0.5699 | Val Accuracy 0.5674 | Test Accuracy 0.4397 | Best val. Accuracy 0.5748 | Best test Accuracy 0.4423
Epoch 0012/1000| Loss 2.7827 | Train Accuracy 0.5801 | Val Accuracy 0.5731 | Test Accuracy 0.4450 | Best val. Accuracy 0.5748 | Best test Accuracy 0.4423
Epoch 0013/1000| Loss 2.9716 | Train Accuracy 0.5709 | Val Accuracy 0.5702 | Test Accuracy 0.4483 | Best val. Accuracy 0.5748 | Best test Accuracy 0.4423
Epoch 0014/1000| Loss 2.7931 | Train Accuracy 0.5835 | Val Accuracy 0.5821 | Test Accuracy 0.4622 | Best val. Accuracy 0.5821 | Best test Accuracy 0.4622
Epoch 0015/1000| Loss 2.5739 | Train Accuracy 0.6122 | Val Accuracy 0.6090 | Test Accuracy 0.4855 | Best val. Accuracy 0.6090 | Best test Accuracy 0.4855
Epoch 0016/1000| Loss 2.2759 | Train Accuracy 0.5707 | Val Accuracy 0.5683 | Test Accuracy 0.4545 | Best val. Accuracy 0.6090 | Best test Accuracy 0.4855
Epoch 0017/1000| Loss 2.2795 | Train Accuracy 0.6805 | Val Accuracy 0.6768 | Test Accuracy 0.5213 | Best val. Accuracy 0.6768 | Best test Accuracy 0.5213
Epoch 0018/1000| Loss 1.9113 | Train Accuracy 0.7002 | Val Accuracy 0.6950 | Test Accuracy 0.5246 | Best val. Accuracy 0.6950 | Best test Accuracy 0.5246
Epoch 0019/1000| Loss 1.8112 | Train Accuracy 0.6849 | Val Accuracy 0.6804 | Test Accuracy 0.5159 | Best val. Accuracy 0.6950 | Best test Accuracy 0.5246
Epoch 0020: Avg Forward 332.106ms, Avg Backward 154.755ms, Total per epoch 486.861ms
Epoch 0020/1000| Loss 1.7601 | Train Accuracy 0.7120 | Val Accuracy 0.7064 | Test Accuracy 0.5347 | Best val. Accuracy 0.7064 | Best test Accuracy 0.5347
Epoch 0021/1000| Loss 1.6020 | Train Accuracy 0.7381 | Val Accuracy 0.7303 | Test Accuracy 0.5605 | Best val. Accuracy 0.7303 | Best test Accuracy 0.5605
Epoch 0022/1000| Loss 1.4902 | Train Accuracy 0.7248 | Val Accuracy 0.7221 | Test Accuracy 0.5597 | Best val. Accuracy 0.7303 | Best test Accuracy 0.5605
Epoch 0023/1000| Loss 1.5393 | Train Accuracy 0.7360 | Val Accuracy 0.7316 | Test Accuracy 0.5623 | Best val. Accuracy 0.7316 | Best test Accuracy 0.5623
Epoch 0024/1000| Loss 1.4519 | Train Accuracy 0.7495 | Val Accuracy 0.7440 | Test Accuracy 0.5627 | Best val. Accuracy 0.7440 | Best test Accuracy 0.5627
Epoch 0025/1000| Loss 1.3394 | Train Accuracy 0.7501 | Val Accuracy 0.7426 | Test Accuracy 0.5583 | Best val. Accuracy 0.7440 | Best test Accuracy 0.5627
Epoch 0026/1000| Loss 1.3033 | Train Accuracy 0.7612 | Val Accuracy 0.7548 | Test Accuracy 0.5698 | Best val. Accuracy 0.7548 | Best test Accuracy 0.5698
Epoch 0027/1000| Loss 1.2365 | Train Accuracy 0.7822 | Val Accuracy 0.7733 | Test Accuracy 0.5897 | Best val. Accuracy 0.7733 | Best test Accuracy 0.5897
Epoch 0028/1000| Loss 1.1665 | Train Accuracy 0.7947 | Val Accuracy 0.7848 | Test Accuracy 0.6059 | Best val. Accuracy 0.7848 | Best test Accuracy 0.6059
Epoch 0029/1000| Loss 1.1176 | Train Accuracy 0.7949 | Val Accuracy 0.7868 | Test Accuracy 0.6191 | Best val. Accuracy 0.7868 | Best test Accuracy 0.6191
Epoch 0030/1000| Loss 1.0819 | Train Accuracy 0.7943 | Val Accuracy 0.7870 | Test Accuracy 0.6258 | Best val. Accuracy 0.7870 | Best test Accuracy 0.6258
Epoch 0031/1000| Loss 1.0476 | Train Accuracy 0.8039 | Val Accuracy 0.7962 | Test Accuracy 0.6340 | Best val. Accuracy 0.7962 | Best test Accuracy 0.6340
Epoch 0032/1000| Loss 1.0047 | Train Accuracy 0.8143 | Val Accuracy 0.8068 | Test Accuracy 0.6391 | Best val. Accuracy 0.8068 | Best test Accuracy 0.6391
Epoch 0033/1000| Loss 0.9668 | Train Accuracy 0.8209 | Val Accuracy 0.8121 | Test Accuracy 0.6396 | Best val. Accuracy 0.8121 | Best test Accuracy 0.6396
Epoch 0034/1000| Loss 0.9461 | Train Accuracy 0.8255 | Val Accuracy 0.8172 | Test Accuracy 0.6389 | Best val. Accuracy 0.8172 | Best test Accuracy 0.6389
Epoch 0035/1000| Loss 0.9126 | Train Accuracy 0.8305 | Val Accuracy 0.8214 | Test Accuracy 0.6401 | Best val. Accuracy 0.8214 | Best test Accuracy 0.6401
Epoch 0036/1000| Loss 0.8872 | Train Accuracy 0.8344 | Val Accuracy 0.8255 | Test Accuracy 0.6428 | Best val. Accuracy 0.8255 | Best test Accuracy 0.6428
Epoch 0037/1000| Loss 0.8546 | Train Accuracy 0.8365 | Val Accuracy 0.8275 | Test Accuracy 0.6455 | Best val. Accuracy 0.8275 | Best test Accuracy 0.6455
Epoch 0038/1000| Loss 0.8193 | Train Accuracy 0.8374 | Val Accuracy 0.8277 | Test Accuracy 0.6491 | Best val. Accuracy 0.8277 | Best test Accuracy 0.6491
Epoch 0039/1000| Loss 0.8046 | Train Accuracy 0.8409 | Val Accuracy 0.8315 | Test Accuracy 0.6539 | Best val. Accuracy 0.8315 | Best test Accuracy 0.6539
Epoch 0040: Avg Forward 332.356ms, Avg Backward 154.734ms, Total per epoch 487.090ms
Epoch 0040/1000| Loss 0.7884 | Train Accuracy 0.8441 | Val Accuracy 0.8351 | Test Accuracy 0.6594 | Best val. Accuracy 0.8351 | Best test Accuracy 0.6594
