
Parameters:
DATA_PATH=./data/
DATASET=flickr
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=4
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gcn
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=False
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with DGL built-in convolution modules
Creating GCN model...
Using standard DGL GCN model
Model parameters: 328,199 total, 328,199 trainable
Graph statistics: 89250 nodes, 989006 edges
Average degree: 11.08
Feature dimension: 500, Hidden dimension: 256
MaxK value: 4, Nonlinearity: maxk
Starting training...
Epoch 0000/1000| Loss 1.9665 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0001/1000| Loss 1.8753 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0002/1000| Loss 1.7407 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0003/1000| Loss 1.6838 | Train Accuracy 0.4216 | Val Accuracy 0.4239 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0004/1000| Loss 1.6632 | Train Accuracy 0.3136 | Val Accuracy 0.3113 | Test Accuracy 0.3095 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0005/1000| Loss 1.6577 | Train Accuracy 0.3741 | Val Accuracy 0.3711 | Test Accuracy 0.3692 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0006/1000| Loss 1.6047 | Train Accuracy 0.4216 | Val Accuracy 0.4238 | Test Accuracy 0.4234 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0007/1000| Loss 1.5862 | Train Accuracy 0.4213 | Val Accuracy 0.4236 | Test Accuracy 0.4232 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0008/1000| Loss 1.5840 | Train Accuracy 0.4214 | Val Accuracy 0.4236 | Test Accuracy 0.4233 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0009/1000| Loss 1.5862 | Train Accuracy 0.4214 | Val Accuracy 0.4236 | Test Accuracy 0.4232 | Best val. Accuracy 0.4239 | Best test Accuracy 0.4234
Epoch 0010/1000| Loss 1.5884 | Train Accuracy 0.4214 | Val Accuracy 0.4240 | Test Accuracy 0.4236 | Best val. Accuracy 0.4240 | Best test Accuracy 0.4236
Epoch 0011/1000| Loss 1.5871 | Train Accuracy 0.4219 | Val Accuracy 0.4246 | Test Accuracy 0.4244 | Best val. Accuracy 0.4246 | Best test Accuracy 0.4244
Epoch 0012/1000| Loss 1.5834 | Train Accuracy 0.4240 | Val Accuracy 0.4248 | Test Accuracy 0.4279 | Best val. Accuracy 0.4248 | Best test Accuracy 0.4279
Epoch 0013/1000| Loss 1.5834 | Train Accuracy 0.4244 | Val Accuracy 0.4252 | Test Accuracy 0.4285 | Best val. Accuracy 0.4252 | Best test Accuracy 0.4285
Epoch 0014/1000| Loss 1.5807 | Train Accuracy 0.4243 | Val Accuracy 0.4251 | Test Accuracy 0.4284 | Best val. Accuracy 0.4252 | Best test Accuracy 0.4285
Epoch 0015/1000| Loss 1.5776 | Train Accuracy 0.4224 | Val Accuracy 0.4249 | Test Accuracy 0.4243 | Best val. Accuracy 0.4252 | Best test Accuracy 0.4285
Epoch 0016/1000| Loss 1.5766 | Train Accuracy 0.4222 | Val Accuracy 0.4247 | Test Accuracy 0.4242 | Best val. Accuracy 0.4252 | Best test Accuracy 0.4285
Epoch 0017/1000| Loss 1.5773 | Train Accuracy 0.4223 | Val Accuracy 0.4246 | Test Accuracy 0.4244 | Best val. Accuracy 0.4252 | Best test Accuracy 0.4285
Epoch 0018/1000| Loss 1.5765 | Train Accuracy 0.4221 | Val Accuracy 0.4246 | Test Accuracy 0.4245 | Best val. Accuracy 0.4252 | Best test Accuracy 0.4285
Epoch 0019/1000| Loss 1.5753 | Train Accuracy 0.4234 | Val Accuracy 0.4257 | Test Accuracy 0.4255 | Best val. Accuracy 0.4257 | Best test Accuracy 0.4255
Epoch 0020: Avg Forward 7.905ms, Avg Backward 3.704ms, Total per epoch 11.609ms
Epoch 0020/1000| Loss 1.5748 | Train Accuracy 0.4239 | Val Accuracy 0.4263 | Test Accuracy 0.4261 | Best val. Accuracy 0.4263 | Best test Accuracy 0.4261
Epoch 0021/1000| Loss 1.5719 | Train Accuracy 0.4287 | Val Accuracy 0.4304 | Test Accuracy 0.4322 | Best val. Accuracy 0.4304 | Best test Accuracy 0.4322
Epoch 0022/1000| Loss 1.5682 | Train Accuracy 0.4294 | Val Accuracy 0.4310 | Test Accuracy 0.4325 | Best val. Accuracy 0.4310 | Best test Accuracy 0.4325
Epoch 0023/1000| Loss 1.5635 | Train Accuracy 0.4377 | Val Accuracy 0.4401 | Test Accuracy 0.4397 | Best val. Accuracy 0.4401 | Best test Accuracy 0.4397
Epoch 0024/1000| Loss 1.5536 | Train Accuracy 0.4580 | Val Accuracy 0.4622 | Test Accuracy 0.4598 | Best val. Accuracy 0.4622 | Best test Accuracy 0.4598
Epoch 0025/1000| Loss 1.5504 | Train Accuracy 0.4257 | Val Accuracy 0.4280 | Test Accuracy 0.4285 | Best val. Accuracy 0.4622 | Best test Accuracy 0.4598
Epoch 0026/1000| Loss 1.5655 | Train Accuracy 0.4386 | Val Accuracy 0.4423 | Test Accuracy 0.4420 | Best val. Accuracy 0.4622 | Best test Accuracy 0.4598
